From,Index
14-3-3-zeta,1
4EBP1,2
ABIN2,3
ABL1,4
AIP4,5
AKAP95,6
AKT1,7
AML1,8
ANAPC2,9
ANAPC4,10
ANAPC5,11
AO7,12
AP2B1,13
APC,14
APH1A,15
APH2,16
APP,17
APPL2,18
ARA54,19
ARA55,20
ARA70,21
ARAF1,22
ARF4,23
ARNIP,24
ARRB2,25
ASE1,26
ATF2,27
BAD,28
BAF53A,29
BAG1,30
BP75,31
BPAG1,32
BTRC,33
BTRC2,34
CALR,35
CAMK2D,36
CASP2,37
CASP3,38
CASP7,39
CAV1,40
CAV2,41
CBL,42
CBLB,43
CCNA2,44
CCNB1,45
CCNB2,46
CCND1,47
CCNH,48
CD44,49
CDC16,50
CDC25C,51
CDC37,52
CDC42,53
CDK2,54
CDK4,55
CDK7,56
CDK9,57
CDKN1A,58
CIAP1,59
CIN85,60
CIR,61
CK2A1,62
CK2A2,63
CK2B,64
CLTC,65
COPS3,66
COPS5,67
CRK,68
CRKL,69
CRM1,70
CSK,71
CSNK1A1,72
CSNK1D,73
CSNK1E,74
CTBP1,75
CTBP2,76
CTCF,77
CTNNB1,78
CTNND1,79
CUL1,80
DAB2,81
DAP,82
DAXX,83
DDEF1,84
DDX3,85
DVL1,86
DVL2,87
DVL3,88
DYRK1A,89
E2F4,90
E2F5,91
E3B1,92
EBP1,93
EF1A,94
EIF3S2,95
ENG,96
EPOR,97
EPS15,98
EPS8,99
ERBB2,100
ERK1,101
ERK2,102
ERM,103
ETS1,104
FADD,105
FAF1,106
FANCD2,107
FBL,108
FBXW7,109
FHL1,110
FHL2,111
FKBP12,112
FKBP51,113
FLNA,114
FOS,115
FOXO1A,116
FRAP1,117
FYN,118
FZD1,119
FZD4,120
FZD5,121
FZD6,122
FZD7,123
FZR1,124
G3BP2,125
GAPDH,126
GAS1,127
GIPC,128
GIT1,129
GJA1,130
GP130,131
GRB10,132
GRB2,133
GRIM19,134
GSK3B,135
HAT1,136
HBO1,137
HD,138
HDAC1,139
HDAC2,140
HDAC6,141
HES1,142
HGS,143
HIP1,144
HIPK2,145
HRAS,146
HSP90A,147
HSP90B,148
HSPA8,149
ID1,150
ID2,151
ID3,152
ID4,153
IKBA,154
IKBKAP,155
IKKB,156
ITGA6,157
ITGB4BP,158
JAK1,159
JNK1,160
JUNB,161
KPNA2,162
KPNA3,163
KPNA6,164
KPNB1,165
KRT17,166
KRT18,167
KRT8,168
LAMR1,169
LRP1,170
LYN,171
MAML1,172
MAP1B,173
MAP3K4,174
MAPK14,175
MCM5,176
MCM7,177
MEK1,178
MEK2,179
MEK3,180
MET,181
MIG6,182
MITF,183
MKP1,184
MTIF2,185
MYC,186
NCK2,187
NCOA3,188
NCOR1,189
NFKB1,190
NFKB2,191
NGAP,192
NIK,193
NKIRAS1,194
NLK,195
NOTCH2,196
NOTCH3,197
NR3C1,198
NSMAF,199
NUMB,200
NUP153,201
P204,202
PAF53,203
PAK1,204
PAPOLA,205
PCAF,206
PEN2,207
PFDN2,208
PIAS1,209
PIAS3,210
PIAS4,211
PIK3CD,212
PIK3R2,213
PIN1,214
PITPN,215
PKN1,216
PLD2,217
PML,218
POLR1B,219
POLR1D,220
POLR2H,221
POLR2L,222
PPP2CA,223
PRKACA,224
PRKAR1A,225
PRKCA,226
PRKCB,227
PRKCI,228
PRMT1,229
PSMB5,230
PSMC2,231
PSMC3,232
PSMD1,233
PSMD13,234
PSMD3,235
PSMD4,236
PSMD7,237
PTK2,238
PTPN12,239
PXN,240
RAB23,241
RAB5,242
RAC1,243
RACK1,244
RAI,245
RAIDD,246
RALB,247
RALBP1,248
RAN,249
RANBP9,250
RAP30,251
RAP74,252
RB,253
RBBP7,254
RBL2,255
RBPSUH,256
RBX1,257
RELA,258
REQ,259
RHOA,260
RIP2,261
RIPK1,262
RKIP,263
RNF4,264
RPA5,265
RPL30,266
RPL4,267
RPL6,268
RPL8,269
RPS11,270
RPS13,271
RSK2,272
RUVBL1,273
SAM68,274
SAP18,275
SAP97,276
SCF,277
SDC2,278
SF1,279
SFN,280
SHC1,281
SHP2,282
SINK,283
SKP1,284
SKP2,285
SMAD1,286
SMAD3,287
SMARCA4,288
SMARCB1,289
SMARCC1,290
SMARCC2,291
SMARCE1,292
SMRT,293
SNIP1,294
SNRPD2,295
SNW1,296
SNX1,297
SNX2,298
SNX4,299
SNX6,300
SOCS5,301
SP1,302
SPEN,303
SPRY2,304
SRC,305
STAMBPL1,306
STAT1,307
STAT2,308
STAT3,309
STAT5B,310
STK11,311
STUB1,312
SUMO1,313
SUMO2,314
T2BP,315
TAB2,316
TAK1,317
TCF12,318
TFDP1,319
TFDP2,320
TGFB1,321
TGFB3,322
TGFBR2,323
TIEG2,324
TIP1,325
TNFR1,326
TNFR2,327
TP53,328
TRAF2,329
TRUSS,330
UBC9,331
UBCH5B,332
UBCH5C,333
UBE2D1,334
UBE2E1,335
UBE2L3,336
UBE3A,337
USP9,338
UXT,339
VDR,340
VIM,341
WASL,342
WDR12,343
WNT5A,344
YAP1,345
YES,346
YY1,347
ZIN,348
ZNF216,349
ZNF259,350
add1,351
