col1,col2
4EBP1,0
AKT1,0.089230769
CCND1,0.102941176
MAPK14,0.107692308
TFDP1,0.333333333
14-3-3-zeta,0.047619048
BAD,0.166666667
CSNK1A1,0.238095238
CTNNB1,0.092691622
KRT18,0.222222222
PRKCA,0.178461538
RAN,0.15
ABIN2,0.222222222
FLNA,0.222222222
LYN,0.273820537
NFKB1,0.042857143
NFKB2,0.20952381
RELA,0.153846154
RIPK1,0.151515152
STK11,0
TAB2,0.163636364
TRAF2,0.079051383
ABL1,0.327169275
APP,0.166666667
CBL,0.40113798
CCNA2,0.173684211
CDC42,0.242647059
CRK,0.494071146
CRKL,0.431932773
FOS,0.276666667
FYN,0.208397337
GRB2,0.376923077
MYC,0.080882353
SHC1,0.625
SRC,0.386585366
TP53,0.125
YAP1,0
add1,0.25
CSK,0.323366556
CSNK1E,0.138888889
HIPK2,0.1
JAK1,0.449197861
AIP4,0.19047619
ARRB2,0.142857143
HGS,0.139705882
JUNB,0.285714286
MET,0.62
NUMB,0
SMAD3,0.110087046
AKAP95,0
CASP3,0.152173913
PRKCI,0.242424242
STAT3,0.305496829
STAT5B,0.253061224
AML1,0
CTCF,0.333333333
HAT1,0
NCOR1,0.072727273
PPP2CA,0.345454545
RUVBL1,0
ANAPC2,0.346153846
ANAPC4,0.409090909
ANAPC5,0.285714286
CCNB1,0.113960114
CDC16,0.282051282
CDK2,0.214285714
FZR1,0.307692308
PSMB5,0.666666667
PSMC2,0.362637363
PSMC3,0.80952381
PSMD1,0.466666667
PSMD13,0.577777778
UBE2E1,0.066666667
SMAD1,0.122983871
TGFB1,0.25
AO7,0
RNF4,0
UBE2D1,0
APH1A,0.388888889
NOTCH2,0.318181818
NOTCH3,0.428571429
APH2,0.6
APPL2,0.4
HDAC1,0.14040404
HDAC2,0.165024631
RBBP7,0.166666667
ARA54,0.035714286
FHL2,0.072727273
NCOA3,0.175438596
PIAS1,0.244444444
UBE2L3,0
ARA55,0.25
GIT1,0.177777778
PAK1,0.141025641
PTK2,0.59057971
PTPN12,0.571428571
PXN,0.166666667
RHOA,0.111111111
TGFBR2,0.357142857
ARA70,0
HRAS,0
ARAF1,0.333333333
PRKCB,0.138888889
ARF4,0
PLD2,0.111111111
ARNIP,0.1
CAV1,0.515151515
DVL3,0.321428571
ASE1,0.333333333
BAF53A,0.285714286
SMARCA4,0.145454545
SMARCB1,0.242424242
SMARCC1,0.218181818
SMARCC2,0.4
SMARCE1,0.333333333
BAG1,0
HSPA8,0.189542484
BP75,0
CCNH,0.218181818
PCAF,0.181818182
BPAG1,0
HDAC6,0.055555556
BTRC2,0.288888889
BTRC,0.4
CUL1,0.213235294
FBXW7,0.9
GSK3B,0.035714286
RBX1,0.277777778
SKP1,0.320512821
SKP2,0.5
CAMK2D,0.2
CASP2,0.266666667
CDK7,0.208791209
FADD,0.20952381
CASP7,0.333333333
CBLB,0.524731183
CD44,0.214285714
EPS15,0.163636364
PIK3R2,0.641025641
STAT1,0.206060606
ERBB2,0.346774194
GRB10,0.637681159
APC,0.228070175
CDC25C,0.186813187
DAB2,0.406593407
EPOR,0.889705882
HD,0.533333333
NCK2,0.671936759
WASL,0.389162562
CCNB2,0.233918129
CDK4,0.263736264
E2F4,0.333333333
ID2,0.363636364
MCM7,0.327272727
SP1,0.197628458
FOXO1A,0.222222222
HES1,0.183333333
PKN1,0.142857143
RAC1,0.155844156
CDKN1A,0.327272727
ETS1,0.358974359
ID3,0.345454545
MCM5,0.388888889
RBL2,0.333333333
RPS11,0
DYRK1A,0.533333333
ITGB4BP,0.035714286
PIN1,0
CDC37,0.4
PRKACA,0.166666667
FRAP1,0
CIAP1,0.19047619
CIN85,0.257575758
AP2B1,0.333333333
MAP3K4,0.111111111
SPRY2,0
CIR,0.2
SAP18,0
SNW1,0.177777778
CK2A1,0.227272727
DVL1,0.087719298
DVL2,0.380952381
CK2A2,0.2
CK2B,0.066666667
CSNK1D,0.5
FAF1,0.3
