From	To
2	5
2	23
2	MAPK14
2	TFDP1
1	5
1	BAD
1	38
1	42
1	KRT18
1	PRKCA
1	126
ABIN2	58
ABIN2	LYN
ABIN2	99
ABIN2	NFKB2
ABIN2	129
ABIN2	RIPK1
ABIN2	STK11
ABIN2	TAB2
ABIN2	TRAF2
3	APP
3	CBL
3	CCNA2
3	27
3	36
3	CRKL
3	42
3	59
3	62
3	71
3	MYC
3	144
3	SRC
3	TP53
3	YAP1
192	3
192	5
192	37
192	CSNK1E
192	HIPK2
192	JAK1
192	LYN
192	PRKCA
192	STK11
AIP4	14
AIP4	75
AIP4	85
AIP4	LYN
AIP4	MET
AIP4	NUMB
AIP4	146
AKAP95	19
AKAP95	23
AKAP95	MYC
5	CCNA2
5	62
5	PRKCA
5	PRKCI
5	160
5	161
6	CTCF
6	HAT1
6	98
6	PPP2CA
6	RUVBL1
ANAPC2	ANAPC4
ANAPC2	7
ANAPC2	22
ANAPC2	CDC16
ANAPC2	CDK2
ANAPC2	FZR1
ANAPC2	115
ANAPC2	PSMC2
ANAPC2	117
ANAPC2	118
ANAPC2	119
ANAPC2	180
ANAPC4	7
ANAPC4	22
ANAPC4	CDC16
ANAPC4	CDK2
ANAPC4	FZR1
ANAPC4	115
ANAPC4	PSMC2
ANAPC4	117
ANAPC4	118
ANAPC4	119
ANAPC4	180
7	SMAD1
7	146
7	167
AO7	129
AO7	RNF4
AO7	179
APH1A	APP
APH1A	42
APH1A	NOTCH2
APH1A	102
APH2	APH1A
APH2	APP
APH2	42
APH2	NOTCH2
APH2	102
APP	CRKL
APP	62
APPL2	72
APPL2	HDAC2
APPL2	RBBP7
10	FHL2
10	NCOA3
10	98
10	PIAS1
10	126
10	179
10	180
10	181
11	36
11	CRKL
11	37
11	59
11	62
11	68
11	NCOA3
11	PAK1
11	121
11	122
11	PXN
11	126
11	132
11	146
11	SRC
11	169
12	FHL2
12	HRAS
12	NCOA3
12	126
ARAF1	HRAS
ARAF1	PRKCA
ARAF1	PRKCB
ARF4	PLD2
ARNIP	14
ARNIP	21
ARNIP	68
ARNIP	PRKCA
ARNIP	PRKCB
14	DVL3
14	62
14	75
ASE1	CCNA2
ASE1	22
ASE1	CDC16
ASE1	98
BAF53A	HAT1
BAF53A	MYC
BAF53A	RUVBL1
BAF53A	148
BAF53A	SMARCB1
BAF53A	SMARCC1
BAF53A	149
BAF53A	150
BAG1	78
BP75	24
BP75	PCAF
15	42
15	59
15	73
BTRC2	APH1A
BTRC2	BTRC
BTRC2	42
BTRC2	CUL1
BTRC2	FBXW7
BTRC2	GSK3B
BTRC2	128
BTRC2	SKP1
BTRC2	SKP2
BTRC2	181
18	146
18	160
18	161
CASP2	CDK7
CASP2	FADD
CASP2	62
CASP2	72
CASP2	HDAC2
CASP2	NFKB2
CASP2	RIPK1
19	20
19	CBL
19	CBLB
19	CD44
19	36
19	37
19	42
19	EPS15
19	58
19	62
19	NOTCH2
19	102
19	PIK3R2
19	PLD2
19	PRKCI
19	144
19	STAT1
19	TRAF2
20	37
21	CBL
21	CRKL
21	37
21	ERBB2
21	GRB10
21	LYN
21	132
21	SRC
21	STAT1
21	161
CBL	APC
CBL	CBLB
CBL	CDC25C
CBL	36
CBL	CRKL
CBL	37
CBL	42
CBL	44
CBL	51
CBL	ERBB2
CBL	58
CBL	62
CBL	GRB10
CBL	71
CBL	HD
CBL	JAK1
CBL	KRT18
CBL	LYN
CBL	MET
CBL	NCK2
CBL	PIK3R2
CBL	122
CBL	144
CBL	SRC
CBL	STAT1
CBL	160
CBL	161
CBL	WASL
CBLB	3
CBLB	APC
CBLB	36
CBLB	CRKL
CBLB	37
CBLB	44
CBLB	51
CBLB	ERBB2
CBLB	58
CBLB	62
CBLB	GRB10
CBLB	71
CBLB	HD
CBLB	JAK1
CBLB	LYN
CBLB	MET
CBLB	PIK3R2
CBLB	121
CBLB	122
CBLB	144
CBLB	SRC
CBLB	STAT1
CBLB	160
CBLB	161
CBLB	WASL
CCNA2	22
CCNA2	CCNB2
CCNA2	23
CCNA2	24
CCNA2	CDK2
CCNA2	28
CCNA2	CDK7
CCNA2	E2F4
CCNA2	72
CCNA2	79
CCNA2	MCM7
CCNA2	SP1
22	CCNB2
22	CDC25C
22	27
22	CDK2
22	28
22	42
22	58
22	60
22	FZR1
22	68
22	73
22	HES1
22	78
22	79
22	MCM7
22	109
22	PRKCA
22	PSMC2
