From,Index
14-3-3-zeta,1
4EBP1,2
ABL1,3
AES,4
AKT1,5
AML1,6
ANAPC5,7
AP2B1,8
APH1B,9
ARA54,10
ARA55,11
ARA70,12
ARRB1,13
ARRB2,14
BPAG1,15
BRCA1,16
CALR,17
CAMK2D,18
CASP3,19
CASP7,20
CAV1,21
CCNB1,22
CCND1,23
CCNH,24
CDC23,25
CDC37,26
CDC42,27
CDK4,28
CDKN1A,29
CHK,30
CIAP2,31
CIN85,32
CIR,33
CK2B,34
CLTC,35
CRK,36
CSK,37
CSNK1A1,38
CSNK1D,39
CTBP1,40
CTBP2,41
CTNNB1,42
CTNND1,43
DAB2,44
DAP,45
DAXX,46
DVL1,47
EBP1,48
EIF3S2,49
ENG,50
EPOR,51
EPS8,52
ERK1,53
FAF1,54
FBL,55
FKBP12,56
FKBP51,57
FLNA,58
FOS,59
FOXO1A,60
FRP2,61
FYN,62
FZD4,63
FZD5,64
FZD6,65
GAPDH,66
GAS1,67
GIT1,68
GJA1,69
GLI2,70
GRB2,71
HDAC1,72
HDAC6,73
HERP1,74
HGS,75
HSP90A,76
HSP90B,77
HSPA8,78
ID2,79
ID3,80
IKBA,81
IKKE,82
ITGB4BP,83
JUN,84
JUNB,85
JUND,86
JUP,87
KPNA2,88
KPNA3,89
KPNB1,90
MAIL,91
MAML1,92
MAP3K4,93
MCM5,94
MEF2A,95
MEK5,96
MTA2,97
NCOR1,98
NFKB1,99
NIK,100
NKIRAS2,101
NOTCH3,102
NR3C1,103
NUP214,104
PAPOLA,105
PEN2,106
PIK3CD,107
PIK3R1,108
PKN1,109
PLCG2,110
PML,111
PRKACA,112
PRKAR1A,113
PRMT1,114
PSMB5,115
PSMC1,116
PSMC3,117
PSMD1,118
PSMD13,119
PSMD3,120
PTK2,121
PTPN12,122
RAB23,123
RACK1,124
RAI,125
RAN,126
RAP74,127
RBX1,128
RELA,129
REPS1,130
REQ,131
RHOA,132
RKIP,133
RPL30,134
RPL4,135
RPL8,136
RPS13,137
RSK1,138
SAM68,139
SAP18,140
SAP30,141
SDC2,142
SF1,143
SHC1,144
SHOC2,145
SMAD3,146
SMAD7,147
SMARCA4,148
SMARCC2,149
SMARCE1,150
SMOH,151
SMURF2,152
SNCA,153
SNRPD2,154
SNW1,155
SNX1,156
SNX6,157
SOCS5,158
STAT2,159
STAT3,160
STAT5B,161
STUB1,162
SUMO1,163
TBP,164
TCF4,165
TCF8,166
TGFB1,167
TGFBR1,168
TGFBR2,169
TIP1,170
TNFR1,171
TNFR2,172
TNIP1,173
TNK2,174
TPL2,175
TRAF4,176
TRUSS,177
UBCH5C,178
UBE2D1,179
UBE2E1,180
UBE2L3,181
USP9,182
VAV1,183
VAV3,184
VDR,185
VIM,186
WDR12,187
WNT5A,188
ZFHX1B,189
ZIN,190
ZNF216,191
add1,192
