col1,col2
4EBP1,0.0002464310696321846
AKT1,0.02122875025616963
CCND1,0.038174708218706215
14-3-3-zeta,0.01053093342194474
CSNK1A1,0.016501118169176442
CTNNB1,0.13297671519467008
PIK3R1,0.0009663206445013134
RAN,0.07223552642273068
ABL1,0.03576190443596044
CDC42,0.008794348104203872
CRK,0.004886253340591774
FOS,0.023298092397862392
FYN,0.12010270957941133
GRB2,0.03290818394192008
JUN,0.047076067217561406
NUP214,0.0006162991167368086
SHC1,0.004391093127910752
add1,0.00015795535992023382
CSK,0.03703667174268038
AES,0.009142397189834074
CTBP1,0.004489482412642737
HDAC1,0.14265775946451004
PRMT1,0.004554315402521115
RELA,0.08421375889942354
CDC23,0.003661703633376758
STAT3,0.03833401732140979
STAT5B,0.039579558049822314
AML1,0.0
NCOR1,0.02005412942897902
TBP,0.02975544552855585
ANAPC5,0.016301556617267496
SMAD3,0.13238132427573454
TGFB1,0.012332035653135691
ARA54,0.011975468313701759
UBE2D1,0.00041263286881315577
UBE2E1,0.0011946827844536588
UBE2L3,0.00031239588754217645
ARA55,0.015054628725923397
GIT1,0.00143996357145138
PTK2,0.00047723017558347797
PTPN12,0.0016431996851470553
RHOA,0.0014748934422600113
SMAD7,2.230707659200357e-05
TGFBR2,0.0018821221150842984
TRAF4,0.0002757204442565828
ARA70,0.0
ARRB1,0.0011159787213796582
HGS,0.050798094034615715
ARRB2,0.02036696083151477
BPAG1,0.000790526076146177
HDAC6,0.014161759051916108
BRCA1,0.01825347340824109
CCNB1,0.018374289965619413
CCNH,0.008551490579531838
CDK4,0.016929757522955134
JUNB,0.001449932876492307
MTA2,0.00036942203084183034
CAMK2D,3.643330484301097e-05
CASP3,0.020371499695817134
CASP7,0.005685034807616171
FLNA,0.0012469123012901811
JUP,0.014639161364629682
NOTCH3,0.0012589450684339933
SNCA,0.012567309039233303
VAV1,0.018240748333025105
CAV1,0.00012605784128908096
FOXO1A,0.0009869857113251827
HSPA8,0.019726640886697636
ID2,0.02090813042017604
PKN1,0.0003595377362519573
CDKN1A,0.001661307790707077
TGFBR1,0.02335597258405522
ITGB4BP,0.018147297689666064
MCM5,0.00015984551255975892
VIM,0.000501136491202573
CDC37,0.001349803378434965
TNK2,0.008132938602381104
PRKACA,0.00925198722264508
CHK,0.005992128446535753
CSNK1D,0.00018707326781176327
CIAP2,0.0034930092174620853
NFKB1,0.03373034142799835
CIN85,0.008820643180841796
AP2B1,0.0009143858672978669
DAB2,0.001963897889921971
MAP3K4,0.011148522933670897
CIR,0.022954940975420852
SAP18,0.0
SAP30,0.0
SNW1,0.005772935178668447
CK2B,0.0010202728708150715
FAF1,0.007208058694459095
CLTC,0.02017820333589574
PAPOLA,0.005805606333820971
EPOR,0.00013122027081733458
KPNA2,0.008502887028502507
PIK3CD,0.00023946694800469878
PRKAR1A,0.0008763569169550661
STAT2,0.005862472202204438
DAXX,0.007378804270029462
ZFHX1B,0.0024611924538043405
CTBP2,0.0
SMURF2,0.0014026596333390885
DAP,0.001022446431548678
PML,0.00998182035079646
TNIP1,0.0014016070672498778
DVL1,0.06311668047821259
CTNND1,0.0
FZD4,0.0
FZD5,0.0
FZD6,0.010471204188481676
WNT5A,0.0
EBP1,0.010990919310015479
KPNA3,0.006984097641731075
RPL30,0.0
RPL4,0.00746231537000506
RPL8,0.01707772866005361
EIF3S2,0.0011833503581991642
PSMD1,0.009745959509311194
SMARCA4,0.012247797741305664
ENG,0.0
ERK1,0.09930001191904261
MEF2A,0.0010344914659344466
PLCG2,0.00021372513050062257
SF1,0.0
TCF8,9.426198636659513e-05
VDR,0.0016193512012039587
FBL,0.0031018844574110162
PSMD3,0.012071016111970014
FKBP12,0.00038421892357544293
FKBP51,0.004101892404136027
JUND,0.0020259917650856905
FRP2,0.0
GJA1,0.0
SOCS5,0.0
GAPDH,0.0
GAS1,0.0005565236484222432
GLI2,0.00335698464909182
RAB23,0.010471204188481676
KPNB1,0.01674677013492526
SMARCE1,0.005069723049097414
HERP1,0.000531765846433867
SNRPD2,0.0
HSP90A,0.011018858212372291
STUB1,0.002363118385151082
SUMO1,0.004486321859027046
HSP90B,0.0039615855713063565
ID3,0.010471204188481676
TCF4,0.0
IKBA,0.007768670411261547
IKKE,0.0007289280408477216
WDR12,0.0
SMARCC2,0.0016737575352993347
MAIL,0.0008711479369037556
MAML1,0.002476402876082179
MEK5,0.00020613421376281958
NIK,0.0036633327864398625
NKIRAS2,0.03080090204121707
NR3C1,0.030916766893056676
CALR,0.0
PEN2,0.005111936103913505
APH1B,0.0001938778968587861
PSMC1,0.0003627819412430308
PSMC3,0.0038956958916111497
PSMD13,0.01373846721632249
PSMB5,0.0
EPS8,0.0
RACK1,0.023689880090271686
RPS13,0.0
SDC2,0.0
RAI,0.0014540687759855432
RAP74,0.0
REPS1,0.0
REQ,0.00016900218960177958
RKIP,0.0
RSK1,0.0035817041468450173
SAM68,0.008723683281958232
SHOC2,0.00011193709933394638
SMOH,0.03884359069460583
SNX1,0.010471204188481676
SNX6,0.0
VAV3,0.0
TIP1,0.0
TNFR1,0.0019015295032014515
TNFR2,0.001982431064080512
TPL2,0.0032127980421122297
TRUSS,0.022917041716342724
RBX1,0.0
UBCH5C,0.0
USP9,0.0007514457925039352
ZIN,0.00488111913840927
ZNF216,0.0
