col1,col2
4EBP1,0.30269413629160064
AKT1,0.3797216699801193
CCND1,0.38276553106212424
14-3-3-zeta,0.34854014598540145
CSNK1A1,0.30462519936204147
CTNNB1,0.4380733944954128
PIK3R1,0.29704510108864696
RAN,0.4134199134199134
ABL1,0.40041928721174
CDC42,0.36242884250474383
CRK,0.35902255639097747
FOS,0.4081196581196581
FYN,0.44110854503464203
GRB2,0.39059304703476483
JUN,0.42444444444444446
NUP214,0.3537037037037037
SHC1,0.3666026871401152
add1,0.31886477462437396
CSK,0.4046610169491525
AES,0.36174242424242425
CTBP1,0.35902255639097747
HDAC1,0.44941176470588234
PRMT1,0.29520865533230295
RELA,0.43507972665148065
CDC23,0.35174953959484345
STAT3,0.42444444444444446
STAT5B,0.4282511210762332
AML1,0.266016713091922
NCOR1,0.3392539964476021
TBP,0.32538330494037476
ANAPC5,0.3374558303886926
SMAD3,0.4658536585365854
TGFB1,0.3804780876494024
ARA54,0.308562197092084
UBE2D1,0.2570659488559892
UBE2E1,0.32263513513513514
UBE2L3,0.2519788918205805
ARA55,0.37896825396825395
GIT1,0.3410714285714286
PTK2,0.35902255639097747
PTPN12,0.34229390681003585
RHOA,0.3416815742397138
SMAD7,0.3298791018998273
TGFBR2,0.35567970204841715
TRAF4,0.28721804511278193
ARA70,0.2929447852760736
ARRB1,0.2907153729071537
HGS,0.3812375249500998
ARRB2,0.3687258687258687
BPAG1,0.3281786941580756
HDAC6,0.34601449275362317
BRCA1,0.4081196581196581
CCNB1,0.3666026871401152
CCNH,0.3270547945205479
CDK4,0.36242884250474383
JUNB,0.3694390715667311
MTA2,0.32372881355932204
CAMK2D,0.34229390681003585
CASP3,0.373046875
CASP7,0.31414473684210525
FLNA,0.3345008756567426
JUP,0.3804780876494024
NOTCH3,0.29520865533230295
SNCA,0.36730769230769234
VAV1,0.3962655601659751
CAV1,0.31993299832495814
FOXO1A,0.3392539964476021
HSPA8,0.38276553106212424
ID2,0.32538330494037476
PKN1,0.34601449275362317
CDKN1A,0.3293103448275862
TGFBR1,0.4089935760171306
ITGB4BP,0.29704510108864696
MCM5,0.28046989720998533
VIM,0.3136288998357964
CDC37,0.32100840336134456
TNK2,0.3398576512455516
PRKACA,0.37896825396825395
CHK,0.29384615384615387
CSNK1D,0.24773022049286642
CIAP2,0.32593856655290104
NFKB1,0.3075684380032206
CIN85,0.3270547945205479
AP2B1,0.26825842696629215
DAB2,0.35902255639097747
MAP3K4,0.33217391304347826
CIR,0.3315972222222222
SAP18,0.24934725848563968
SAP30,0.24934725848563968
SNW1,0.33217391304347826
CK2B,0.2591587516960651
FAF1,0.32482993197278914
CLTC,0.3723196881091618
PAPOLA,0.3339160839160839
EPOR,0.36590038314176243
KPNA2,0.3921971252566735
PIK3CD,0.3472727272727273
PRKAR1A,0.31833333333333336
STAT2,0.39059304703476483
DAXX,0.3447653429602888
ZFHX1B,0.3472727272727273
CTBP2,0.3105691056910569
SMURF2,0.35969868173258
DAP,0.24613402061855671
PML,0.31414473684210525
TNIP1,0.23934837092731828
DVL1,0.3264957264957265
CTNND1,0.24645161290322581
FZD4,0.2467700258397933
FZD5,0.24645161290322581
FZD6,0.24708926261319533
WNT5A,0.2467700258397933
EBP1,0.2623626373626374
KPNA3,0.29890453834115804
RPL30,0.20806100217864923
RPL4,0.28851963746223563
RPL8,0.31993299832495814
EIF3S2,0.27403156384505023
PSMD1,0.28851963746223563
SMARCA4,0.3435251798561151
ENG,0.3036565977742448
ERK1,0.4613526570048309
MEF2A,0.35634328358208955
PLCG2,0.3333333333333333
SF1,0.3162251655629139
TCF8,0.3362676056338028
VDR,0.360377358490566
FBL,0.2526455026455027
PSMD3,0.2812960235640648
FKBP12,0.3404634581105169
FKBP51,0.3264957264957265
JUND,0.3310225303292894
FRP2,0.19833852544132918
GJA1,0.30658105939004815
SOCS5,0.3327526132404181
GAPDH,0.26901408450704223
GAS1,0.2598639455782313
GLI2,0.28005865102639294
RAB23,0.253315649867374
KPNB1,0.35435992578849723
SMARCE1,0.31260229132569556
HERP1,0.27285714285714285
SNRPD2,0.276410998552822
HSP90A,0.36801541425818884
STUB1,0.3398576512455516
SUMO1,0.31727574750830567
HSP90B,0.29520865533230295
ID3,0.24645161290322581
TCF4,0.19792746113989637
IKBA,0.3882113821138211
IKKE,0.30269413629160064
WDR12,0.22929171668667467
SMARCC2,0.2898330804248862
MAIL,0.31006493506493504
MAML1,0.32154882154882153
MEK5,0.32100840336134456
NIK,0.32154882154882153
NKIRAS2,0.35634328358208955
NR3C1,0.3652007648183556
CALR,0.26788218793828894
PEN2,0.3075684380032206
APH1B,0.24455825864276567
PSMC1,0.2455012853470437
PSMC3,0.2570659488559892
PSMD13,0.27092198581560284
PSMB5,0.21340782122905028
EPS8,0.20233050847457626
RACK1,0.32046979865771813
RPS13,0.2430025445292621
SDC2,0.2430025445292621
RAI,0.32372881355932204
RAP74,0.24581724581724582
REPS1,0.2838038632986627
REQ,0.2563758389261745
RKIP,0.23551171393341552
RSK1,0.31260229132569556
SAM68,0.3435251798561151
SHOC2,0.2705382436260623
SMOH,0.3368606701940035
SNX1,0.2772133526850508
SNX6,0.21729237770193402
VAV3,0.300314465408805
TIP1,0.305111821086262
TNFR1,0.32482993197278914
TNFR2,0.2581081081081081
TPL2,0.3310225303292894
TRUSS,0.32046979865771813
RBX1,0.2430025445292621
UBCH5C,0.2929447852760736
USP9,0.28895612708018154
ZIN,0.30126182965299686
ZNF216,0.3036565977742448
