col1,col2
4EBP1,0.01108084205338094
AKT1,0.08692120878058006
CCND1,0.07887599322560498
14-3-3-zeta,0.0238104900390083
CSNK1A1,0.007465598553147392
CTNNB1,0.11897974807522663
PIK3R1,0.012733997745260807
RAN,0.1301641249132074
ABL1,0.16278128739304437
CDC42,0.0706752568909752
CRK,0.10231195742466864
FOS,0.1723269234509208
FYN,0.26574002068179026
GRB2,0.17240377531300088
JUN,0.18186166878148122
NUP214,0.06628073939637945
SHC1,0.09394892907007839
add1,0.03176465161953184
CSK,0.22557639832273058
AES,0.04434189156224464
CTBP1,0.06622421413414623
HDAC1,0.18526004004551858
PRMT1,0.00758136414495382
RELA,0.20654460417634252
CDC23,0.05399397633481531
STAT3,0.2327672292721638
STAT5B,0.24620410097476708
AML1,0.0027580248924683973
NCOR1,0.021618599398512014
TBP,0.019648373637634546
ANAPC5,0.028377175933558464
SMAD3,0.2535473250834098
TGFB1,0.09431507049863058
ARA54,0.011544414030464138
UBE2D1,0.0014142188057634831
UBE2E1,0.017717064312504638
UBE2L3,0.0018193945832553717
ARA55,0.10226999654244905
GIT1,0.03468113590222476
PTK2,0.13048652485370238
PTPN12,0.05714063146080484
RHOA,0.0481824649319978
SMAD7,0.030084017582250454
TGFBR2,0.07166438815311138
TRAF4,0.008309859130513724
ARA70,0.008699351326363118
ARRB1,0.006584475231233748
HGS,0.07814537577901232
ARRB2,0.04256426103959196
BPAG1,0.0210668286359751
HDAC6,0.023905947349033233
BRCA1,0.1549577945329311
CCNB1,0.05207643520196557
CCNH,0.01905063971616749
CDK4,0.077606709886072
JUNB,0.10370931843785237
MTA2,0.024005185320679943
CAMK2D,0.0489569390957979
CASP3,0.09141736692227878
CASP7,0.022851266732394553
FLNA,0.028825390356434968
JUP,0.04977153910821733
NOTCH3,0.009495080870548725
SNCA,0.08206565717116196
VAV1,0.19389099785525082
CAV1,0.0477095084074228
FOXO1A,0.035329557784786414
HSPA8,0.09084385869132947
ID2,0.02095443144717787
PKN1,0.03504499481995236
CDKN1A,0.02368464815681317
TGFBR1,0.14193649629810437
ITGB4BP,0.0046478616176636135
MCM5,0.006459969235191815
VIM,0.023320398381775766
CDC37,0.018393983601524836
TNK2,0.06092952238323489
PRKACA,0.08265066598126787
CHK,0.012639024580611126
CSNK1D,0.001478572701449689
CIAP2,0.022553215731555738
NFKB1,0.016639461749058587
CIN85,0.02793559366141655
AP2B1,0.004009353213774977
DAB2,0.057952472561317914
MAP3K4,0.022066347777552408
CIR,0.01895997344691705
SAP18,0.0012671653596044946
SAP30,0.001267165359604489
SNW1,0.026364675733407932
CK2B,0.0020185346264666717
FAF1,0.02125817181721513
CLTC,0.046473222509160646
PAPOLA,0.02277429024470149
EPOR,0.11758799751608884
KPNA2,0.11606301331893215
PIK3CD,0.05716300207105071
PRKAR1A,0.02919768008353572
STAT2,0.1545111456263304
DAXX,0.04177096008680137
ZFHX1B,0.052938086121823213
CTBP2,0.012381615719129222
SMURF2,0.04324925059853155
DAP,0.0009099626797815381
PML,0.012442431900627602
TNIP1,0.0011728931361366889
DVL1,0.012560164481440756
CTNND1,0.000839442385632884
FZD4,0.0008995635550486417
