From,Index
14-3-3-zeta,1
4EBP1,2
A20,3
ABIN2,4
ABL1,5
ADAM10,6
ADAM17,7
ADD1,8
AES,9
AIP4,10
AKAP95,11
AKT1,12
AKT2,13
AML1,14
ANAPC1,15
ANAPC10,16
ANAPC2,17
ANAPC4,18
ANAPC5,19
ANAPC7,20
AO7,21
AP2A1,22
AP2B1,23
APC,24
APH1A,25
APH2,26
APP,27
APPL2,28
APS,29
AR,30
ARA160,31
ARA54,32
ARA55,33
ARA70,34
ARAF1,35
ARF4,36
ARNIP,37
ARRB1,38
ARRB2,39
ASE1,40
ATF1,41
ATF2,42
ATF3,43
AXAM2,44
AXIN1,45
BAD,46
BAF53A,47
BAG1,48
BCAR1,49
BCL3,50
BCL7A,51
BP75,52
BPAG1,53
BRCA1,54
BTK,55
BTRC,56
BTRC2,57
CALR,58
CAMK2D,59
CAMK2G,60
CAPN3,61
CASP2,62
CASP3,63
CASP7,64
CASP8,65
CASP9,66
CAV1,67
CAV2,68
CBL,69
CBLB,70
CCNA2,71
CCNB1,72
CCNB2,73
CCND1,74
CCNH,75
CD44,76
CDC16,77
CDC2,78
CDC23,79
CDC25A,80
CDC25B,81
CDC25C,82
CDC27,83
CDC34,84
CDC37,85
CDC42,86
CDH1,87
CDK2,88
CDK4,89
CDK6,90
CDK7,91
CDK9,92
CDKN1A,93
CEACAM1,94
CHK,95
CIAP1,96
CIAP2,97
CIN85,98
CIR,99
CK2A1,100
CK2B,101
CLTC,102
COPS3,103
COPS5,104
CREB,105
CRK,106
CRKL,107
CRM1,108
CSK,109
CSNK1A1,110
CSNK1D,111
CSNK1E,112
CTBP1,113
CTBP2,114
CTCF,115
CTNNB1,116
CTNND1,117
CUL1,118
CYLD,119
DAAM1,120
DAB2,121
DAP,122
DAXX,123
DCP1A,124
DDEF1,125
DDX3,126
DLL4,127
DNM,128
DOK1,129
DSP,130
DVL1,131
DVL3,132
DYRK1A,133
E2F4,134
E2F5,135
E3B1,136
EBP1,137
EF1A,138
EGF,139
EGFR,140
EIF3S2,141
EIF4E,142
ELK1,143
ELK3,144
ENG,145
EPS15R,146
EPS8,147
ERBB2,148
ERK1,149
ERK2,150
ERM,151
ERT,152
ESR1,153
ETS1,154
FADD,155
FAF1,156
FANCD2,157
FBL,158
FBXW7,159
FGR,160
FHL1,161
FHL2,162
FKBP12,163
FKBP51,164
FLNA,165
FOS,166
FOSB,167
FOXO1A,168
FOXO3A,169
FOXO4,170
FRAP1,171
FRP2,172
FURIN,173
FYN,174
FZD4,175
FZD6,176
FZR1,177
G3BP2,178
GAB2,179
GAPDH,180
GIPC,181
GIT1,182
GJA1,183
GLG1,184
GLI3,185
GP130,186
GRAP,187
GRB10,188
GRB14,189
GRB2,190
GRB7,191
GRIM19,192
GSK3B,193
GTFII-I,194
HAT1,195
HBO1,196
HD,197
HDAC1,198
HDAC2,199
HDAC6,200
HES1,201
HES6,202
HEY1,203
HGS,204
HIP1,205
HIPK2,206
HIVEP3,207
HRAS,208
HSP90A,209
HSP90B,210
HSPA8,211
ICAT,212
ID1,213
ID2,214
ID3,215
ID4,216
IKBA,217
IKBB,218
IKBE,219
IKBKAP,220
IKKB,221
IKKE,222
ITGA6,223
ITGB4,224
ITGB4BP,225
JAG1,226
JAG2,227
JAK1,228
JNK1,229
JNKK2,230
JUNB,231
JUND,232
JUP,233
KCNQ1,234
KIT,235
KPNA2,236
KPNA3,237
KPNA6,238
KPNB1,239
KRAS2,240
KRT17,241
KRT18,242
KRT7,243
KRT8,244
KTN1,245
LAMR1,246
LCK,247
LEF1,248
LIP1,249
LRP1,250
LRP5,251
LYN,252
MAGEA1,253
MAGI3,254
MAIL,255
MAML1,256
MAML2,257
MAP1B,258
MAPK14,259
MCC,260
MCM5,261
MCM7,262
MDM2,263
MEF2A,264
MEF2C,265
MEK1,266
MEK2,267
MEK3,268
MEK5,269
MEKK1,270
MEKK2,271
MEKK3,272
MET,273
MFNG,274
MITF,275
MIZ1,276
MKP1,277
MMP7,278
MSK1,279
MST1R,280
MTA2,281
MTIF2,282
MUPP1,283
MYB,284
MYC,285
NCK,286
NCK2,287
NCOA2,288
NCOA3,289
NCOR1,290
NFKB1,291
NFKB2,292
NFYA,293
NFYB,294
NFYC,295
NGAP,296
NIK,297
NKIRAS1,298
NKIRAS2,299
NLK,300
NOTCH1,301
NOTCH2,302
NOTCH3,303
NR3C1,304
NRAS,305
NSMAF,306
NUMB,307
NUP153,308
NUP214,309
OTF1,310
OTF2,311
P204,312
P70S6K,313
PAF53,314
PAK1,315
PAPOLA,316
PARD3,317
PATZ,318
PCAF,319
PDCD2,320
PEN2,321
PFDN2,322
PIAS1,323
PIAS3,324
PIAS4,325
PIK3CB,326
PIK3R1,327
PIK3R2,328
PIN1,329
PITPN,330
PKN1,331
PKN2,332
PLCG1,333
PLCG2,334
PLD1,335
PLD2,336
PLSCR1,337
PML,338
POFUT1,339
POLR1A,340
POLR1B,341
POLR1D,342
POLR2H,343
POLR2L,344
PPP2CA,345
PPP2R2A,346
PRKACA,347
PRKAR1A,348
PRKAR1B,349
PRKAR2A,350
PRKCA,351
PRKCB,352
PRKCD,353
PRKCI,354
PRKCL,355
PRKCZ,356
PRMT1,357
PSD95,358
PSEN1,359
PSEN2,360
PSMB5,361
PSMC1,362
PSMC2,363
PSMC3,364
PSMD1,365
PSMD12,366
PSMD13,367
PSMD3,368
PSMD4,369
PSMD7,370
PTK2,371
PTK6,372
PTPN12,373
PXN,374
PYK2,375
RAB23,376
RAB5,377
RAC1,378
RACK1,379
RAD54L2,380
RAF1,381
RAI,382
RALB,383
RALBP1,384
RALGDS,385
RAN,386
RANBP9,387
RAP30,388
RAP74,389
RB,390
RBBP7,391
RBL1,392
RBL2,393
RBPSUH,394
RBX1,395
REL,396
RELA,397
RELB,398
REPS1,399
REPS2,400
REQ,401
RGS16,402
RHOA,403
RING1,404
RIP2,405
RIPK1,406
RKIP,407
RNF4,408
RPA5,409
RPL30,410
RPL4,411
RPL6,412
RPL8,413
RPS11,414
RPS13,415
RSK1,416
RSK2,417
RSK3,418
RTKN,419
RUVBL1,420
SALL1,421
SAM68,422
SAP18,423
SAP30,424
SAP97,425
SCF,426
SDC2,427
SENP1,428
SF1,429
SH2D3C,430
SHC1,431
SHIP2,432
SHOC2,433
SHP2,434
SIN3A,435
SINK,436
SKIL,437
SKP1,438
SMAD1,439
SMAD2,440
SMAD3,441
SMAD4,442
SMAD6,443
SMAD7,444
SMARCA4,445
SMARCB1,446
SMARCC1,447
SMARCC2,448
SMARCE1,449
SMOH,450
SMRT,451
SMURF1,452
SNCA,453
SNIP1,454
SNRPD2,455
SNW1,456
SNX1,457
SNX2,458
SNX4,459
SNX6,460
SOCS3,461
SOCS5,462
SODD,463
SP1,464
SPDEF,465
SPEN,466
SPRY2,467
STAMBPL1,468
STAT1,469
