col1,col2
4EBP1,0.0010813366622373565
AKT1,0.01623153522701184
CCND1,0.013907615330777223
EIF4E,0.0032976517634360743
MAPK14,0.016993698342310706
TFDP1,4.455797798589459e-05
14-3-3-zeta,0.002697235039105947
BAD,0.0029456338426390315
CDC25A,0.017306402938517117
CDC25B,0.0005409850504917282
CSNK1A1,0.0016016973890308605
CTNNB1,0.03241873913608683
FOXO4,0.0022879985629436967
KRT18,0.010555372880668093
MST1R,0.001470320693543078
PIK3R1,0.0006881864610297878
PRKCA,0.01137293558295903
RAF1,0.029266797178490008
RAN,0.017395273544466457
A20,0.0
G3BP2,0.0044140309758530566
ABIN2,0.00133122013042049
FLNA,0.0006436151231946748
LYN,0.01978935947721265
NFKB1,0.011991059361512457
NFKB2,0.00985574517864844
REL,0.001268967438460923
RELA,0.04194497733712303
RIPK1,0.01043159648740732
STK11,0.00010219179319562874
TAB2,0.006911845170749782
TRAF2,0.01212589937435648
ABL1,0.015262597603679871
APP,0.0025012810722284356
BCAR1,0.008076122024133978
CBL,0.015115379357878966
CCNA2,0.008172242391103663
CDC42,0.004570600265382385
CRK,0.004594742093720304
CRKL,0.011463690103321544
DOK1,0.0006008598469475624
FOS,0.018104571370432244
FYN,0.04504008162728952
GRB2,0.016541558937424674
MDM2,0.00886106195915532
MYC,0.007729155495103795
NUP214,0.0013356579092491893
PLCG1,0.0018880030495043018
PLSCR1,0.0
SHC1,0.004513021790883586
STAT5A,0.04097603328838055
TP53,0.021600794955848542
ADAM10,0.005137803607552631
ADAM17,0.002365873140081878
CD44,0.008821725561818433
CDH1,0.0002157639384768314
DLL4,0.00018580232870108382
EGF,0.0043984473528199085
EGFR,0.01853988172165549
FHL2,0.010330617354235036
FURIN,0.0
JAG1,0.0004514861868287545
JAG2,0.0008582010462559559
NOTCH1,0.006116413496758025
NOTCH2,0.00748281411804974
NOTCH3,0.000965936758151582
PSEN1,0.008336496557931361
ERBB2,0.013393852083017509
ADD1,0.0016839040824366386
BTK,0.008708530619964228
CSK,0.0095248563632242
CSNK1E,0.005540206981348257
FGR,0.004828978170605404
HIPK2,0.0009414619340713364
JAK1,0.006231920183478546
LCK,0.00402405268725821
PKN2,0.0005533230485131018
PRKCZ,0.004581415231374014
TBK1,0.0006685069247282558
AES,0.006148224080310899
AR,0.04342946052674064
CTBP1,0.0034886755333962626
HDAC1,0.04278004942679568
LEF1,0.0010612727573633533
PRMT1,0.0006858788627347281
TLE1,0.0
AIP4,0.0023590012656507283
ARRB1,0.00015777048883546628
ARRB2,0.0034745830222109096
HGS,0.010619982337845644
JUNB,0.0039415354634464135
KIT,0.011360815770717925
MET,0.0038777147770419113
NUMB,0.0003847687512010355
SMAD3,0.05448425538965601
SMAD7,0.002116938787038772
AKAP95,0.0001442855690611598
CASP3,0.013739964953999187
PRKAR2A,0.0030337391457729993
CDC23,0.009748559581952258
NRAS,0.01639604707126204
PRKCI,0.0029075411018091688
STAT3,0.022241886347107435
AML1,0.0016340715316118803
CTCF,0.00027248910338816874
HAT1,0.0001233622966253248
NCOR1,0.0057337127366095956
PPP2CA,0.007577466238604149
RUVBL1,0.000254918445444933
TBP,0.0051162946260315915
ANAPC1,5.8444519819333816e-05
ANAPC10,4.065824186081016e-05
ANAPC2,0.006073678403982633
ANAPC4,0.004722664775466686
ANAPC5,0.0018647137544237362
ANAPC7,0.0
CCNB1,0.013101829918253451
CDC16,0.009471584492321175
CDC27,6.31406187233347e-05
CDK2,0.01608941683196025
FZR1,0.0027178491495921833
PSMB5,1.5252520600756122e-05
PSMC2,0.005837374334330677
PSMC3,0.0006257985576803242
PSMD1,0.0012009604363650114
PSMD12,0.006125803049491061
PSMD13,0.00027337020773753024
UBE2E1,0.002035781699528793
SMAD1,0.011487963596681144
SMAD2,0.05243051229242955
TGFB1,0.004084939743116863
AO7,0.0006957771415676584
CDC34,0.0012817729947190016
RNF4,0.00038648977404292216
UBE2D1,0.00033815146714070803
APC,0.014543312012766676
APH1A,0.0011012681522659421
PLD1,0.0006788920695090051
PSEN2,0.0013860610988531974
APH2,0.00045461550682984384
APPL2,0.0019378084513697364
AKT2,0.00014152482552835086
HDAC2,0.01499437889751237
MTA2,0.0009843075592768466
PIK3CB,0.0008936166452071471
RBBP7,0.0010271368490225685
APS,0.002342340371053704
CAMK2G,8.17341847245555e-05
CAV1,0.0009265710026346041
CBLB,0.002762758198375912
GRAP,0.006520201944573444
GRB10,0.0076856706158439534
GRB7,0.00011967728493362844
ITGB4,0.0004327926918618978
NCK2,0.003985243056956449
PIK3R2,0.0021842405659029873
PTK2,0.0022485815688378426
PTK6,0.0006107119197938339
SNCA,0.0026962671850047026
SOCS3,0.001226138675096608
STAT1,0.030788149380188697
STAT2,0.0020707541099919302
TEC,0.006250673374951269
WASL,0.006842033811267223
BAG1,0.0002865183063133976
BRCA1,0.02904516877491376
NCOA2,0.0007432930882137262
NCOA3,0.005111124414505285
SP1,0.013097033168436507
UXT,4.4190743567556135e-05
ARA54,0.0031363710443248647
ESR1,0.007132870204499112
PIAS1,0.002705562912937
SPDEF,5.7325147021835906e-05
SVIL,0.0028006203244322625
UBE2L3,0.0004186226561287702
ARA55,0.008929789567713578
GIT1,0.001987761232353708
PAK1,0.002795181001623912
PTPN12,0.0006514446792098995
PXN,0.00010061064113957099
RHOA,0.002211466765361219
TGFBR2,0.0024393048714630994
TRAF4,0.0
ARA70,0.0015734531664212445
HRAS,0.0009714005285563776
ARA160,0.000560252325930957
SMARCA4,0.004243202210279774
ARAF1,0.00018728191443462036
PRKCB,0.0015863062479934756
PRKCD,0.00037393711964541767
ARF4,0.0003725140229386951
PLD2,0.007516230302560553
ARNIP,0.000723445146525154
DVL3,0.002429855697606369
ASE1,0.0003855593756875731
ATF1,0.0024070486549832484
CAPN3,0.0001252326062442544
KPNA2,0.002857665906507856
TCF3,0.012521206152887803
YY1,0.00027576621556309937
ATF3,0.0001574997611151068
FOSB,3.076305387705492e-05
AXAM2,0.001439505262580549
AXIN1,0.0032806913989734563
DVL1,0.01578055469376263
KPNB1,0.004049378081257651
NUP153,0.0027368797565102986
PML,0.0011128783493955525
SUMO1,0.007054729002947582
SUMO2,0.0014709397785051528
JUP,0.0036706002181275195
TGFBR1,0.008935088361172227
BAF53A,0.002254945342428259
SMARCB1,0.002397373217717206
SMARCC1,0.002140493308812599
SMARCC2,0.00043976164794299444
SMARCE1,0.00040286941692828767
HSPA8,0.0062798271994925535
CASP8,0.003544836395257661
CDC2,0.0009263016990269922
SNX2,8.410368290126369e-05
BCL3,0.0008980657527739437
RELB,0.01103795190166481
BCL7A,0.0037119383237594456
PDCD2,0.0
BP75,9.220704716176849e-05
CCNH,0.012022633889253075
PCAF,0.004129709618336406
BPAG1,0.0002516184223588542
HDAC6,0.00455733312672412
CCNB2,0.0068234026649915645
CDC25C,0.006701210930167648
CDK4,0.00446803760335513
POLR2H,0.012537134774301996
RBL1,0.002212306762364976
CASP7,0.00040583237441071024
CASP9,0.002262107386067345
CDK7,0.007323250821076699
HES1,0.007816889078594192
SOCS5,1.025052045460209e-06
VAV2,1.7242191823387475e-05
BTRC,0.0009636361647513874
SMAD6,0.001143178641514465
BTRC2,0.0022105756973443726
CUL1,0.0069794405738423555
FBXW7,0.0006636464786280183
GLI3,0.0011415086004528453
GSK3B,0.003054614389385591
RBX1,0.005609860822152572
SKP1,0.0033743343637673666
CAMK2D,0.0006878604668273652
RPL8,0.0030534202252659125
CASP2,0.0022381389878616763
FADD,0.008005477613836132
TRADD,0.008939073927950946
MEF2C,0.000533267387747256
STUB1,0.0011124097614210213
DAB2,0.0025287828070528094
GRB14,1.9352916232622792e-06
HD,0.0004990284783404954
PARD3,2.0260479575838737e-05
E2F4,0.00013396727827855488
ID2,0.0011386009645217114
MCM7,0.002155527377219486
MYB,0.0008383852898263247
FOXO1A,0.0008203389011946175
FOXO3A,0.0014238994250921437
PKN1,0.0025947693419197753
RAC1,0.00999533644924778
RGS16,4.096380844284767e-05
CDKN1A,0.0017202293442390658
ETS1,0.0021978079916621274
ID3,0.0014768491221109888
MCM5,0.0031562201038623124
RBL2,0.0012569033849374224
RPS11,0.0
DYRK1A,0.0005261099085457733
ITGB4BP,0.009627620954702484
MMP7,0.003703703703703704
VIM,0.0005635835114877526
NFYA,0.003791179079092791
PRKACA,0.013204804225131716
SALL1,0.00031282902389470293
PIN1,0.0
CDC37,0.0002535607302224203
TNK2,0.002616074328542933
CDK6,0.00013426672369053322
SIN3A,0.0024382458710919025
FRAP1,0.0
