col1,col2
4EBP1,0.028779586493472478
AKT1,0.14535659358446323
CCND1,-0.021385134438576453
EIF4E,0.016082866996741035
MAPK14,0.061181699257182205
TFDP1,-0.0001741969485723781
14-3-3-zeta,0.06418372467310789
BAD,0.12332925738528176
CDC25A,0.014375448932310495
CDC25B,0.0004898902337636305
CSNK1A1,0.009860590995058652
CTNNB1,-0.1763031042346077
FOXO4,-0.027686620662895064
KRT18,0.07014232708635859
MST1R,0.01526071605086566
PIK3R1,0.056991540685394894
PRKCA,0.11849744826549034
RAF1,0.18259765847808587
RAN,0.02219146344802139
A20,0.011102103639842277
G3BP2,0.024286999914935666
ABIN2,-0.01723175136763444
FLNA,-0.024026556418973374
LYN,-0.04940626851803582
NFKB1,-0.027368358616373493
NFKB2,-0.04764274853606854
REL,0.02680546766102139
RELA,0.1036192085739061
RIPK1,-0.09750578220739622
STK11,0.011403768040649343
TAB2,-0.03557211619413775
TRAF2,-0.11935816394442314
ABL1,-0.06143187805615237
APP,-0.03972663530383731
BCAR1,-0.041711223059693964
CBL,-0.006296382709140061
CCNA2,-0.07730744794500427
CDC42,0.07071381827777683
CRK,-0.013314024743434764
CRKL,-0.028203147412025807
DOK1,-0.07438251258759032
FOS,0.0953627873899465
FYN,0.003288605598777659
GRB2,0.07651469702078784
MDM2,0.010719466150377605
MYC,0.014015721327388299
NUP214,-0.01243367753126844
PLCG1,-0.019978691157462113
PLSCR1,0.005008071336529392
SHC1,-0.004294118201537487
STAT5A,0.02838556313230984
TP53,-0.003660010460524795
ADAM10,-0.05949294972786704
ADAM17,-0.01603707760358222
CD44,0.018114162019884826
CDH1,-0.003206593670556576
DLL4,-0.0355779577314427
EGF,0.102176807137729
EGFR,0.048307419767353456
FHL2,-0.037791557879650085
FURIN,0.001120400915203787
JAG1,-0.043378017450691135
JAG2,-0.05508508216450218
NOTCH1,-0.06351654437003477
NOTCH2,-0.11632720090773231
NOTCH3,-0.06921833313512361
PSEN1,-0.10912260087459902
ERBB2,0.024778554937959225
ADD1,0.043469450406677254
BTK,-0.06541204312159032
CSK,-0.061938416155286086
CSNK1E,0.0007000829434682825
FGR,-0.05958616050434496
HIPK2,-0.014022469066976722
JAK1,0.016580544704573843
LCK,0.0004978311906076337
PKN2,0.0256574312466349
PRKCZ,0.1246346948804624
TBK1,0.03383164967123602
AES,-0.008399463890607086
AR,0.032578057784377196
CTBP1,-0.01878172531486721
HDAC1,-0.02263657774463194
LEF1,-0.03663725518017314
PRMT1,0.010485220948373567
TLE1,0.007833457259288013
AIP4,0.0018291532943467731
ARRB1,0.016982414081052374
ARRB2,0.055759696579131546
HGS,0.026533382690263844
JUNB,0.024673668901123692
KIT,-0.03863445933782958
MET,-0.02254916614876448
NUMB,0.01395428318666937
SMAD3,-0.06396157434660948
SMAD7,-0.016585356024339637
AKAP95,-0.00031796831562707695
CASP3,-0.09945310998991612
PRKAR2A,0.016908803461346197
CDC23,0.04332818793633649
NRAS,0.2724573055797096
PRKCI,0.13037499625198518
STAT3,0.04776890417009899
AML1,0.01899587738613277
CTCF,0.003509232114164081
HAT1,0.014744890080427722
NCOR1,0.010196778292230022
PPP2CA,0.026914941465114892
RUVBL1,0.020198611013853018
TBP,0.02766028441205087
ANAPC1,-0.0013650355766987475
ANAPC10,-0.013558557881824453
ANAPC2,-0.06646940270688953
ANAPC4,-0.06368461959809699
ANAPC5,-0.03207101614254898
ANAPC7,-0.004341998582149934
CCNB1,-0.08295437070143975
CDC16,-0.0908005574200464
CDC27,-0.00919722129050464
CDK2,-0.15564574929397335
FZR1,-0.07554753676175552
PSMB5,-0.017010109029812065
PSMC2,-0.04646241797723549
PSMC3,-0.022818731800889416
PSMD1,-0.023724453779644633
PSMD12,-0.08845847562323564
PSMD13,-0.03070642086901402
UBE2E1,-0.005776364963130851
SMAD1,-0.1022546557026351
SMAD2,-0.09412353436908123
TGFB1,-0.058506949279681586
AO7,0.022704170759698047
CDC34,0.014964662625637514
RNF4,0.01395397286222818
UBE2D1,0.007769827051721531
APC,-0.06453199863128424
APH1A,-0.09147805730854794
PLD1,0.003936838438558406
PSEN2,-0.07409110773596132
APH2,-0.0744183616407708
APPL2,0.03523341295164807
AKT2,0.03325100523146963
HDAC2,-0.026430004465337054
MTA2,0.0054572164719008205
PIK3CB,0.052770228055832015
RBBP7,0.01639660004458496
APS,-0.08129006515378497
CAMK2G,-0.0012854501551557347
CAV1,-0.008843853339949082
CBLB,-0.05489005524881223
GRAP,-0.010364926388380949
GRB10,0.01561574650641274
GRB7,0.0039060273211569993
ITGB4,-0.03292919476594863
NCK2,-0.03705011954267874
PIK3R2,-0.03375785171951122
PTK2,-0.03166992513258505
PTK6,-0.03568366717913934
SNCA,0.016907368092645148
SOCS3,-0.008813407827126815
STAT1,-0.0268367420078054
STAT2,-0.045642532756952674
TEC,-0.010744811578428413
WASL,-0.002183654030196966
BAG1,0.015145828545550778
BRCA1,-0.058777087964931245
NCOA2,0.02037530545885399
NCOA3,0.03559098061928515
SP1,-0.0025516150893088196
UXT,0.014712940283735865
ARA54,0.023991841488200997
