From,Index
14-3-3-zeta,1
ABL1,2
ACVRL1,3
ADAM17,4
ADD1,5
AES,6
AIP4,7
AKT1,8
AKT2,9
AML1,10
ANAPC2,11
ANAPC5,12
AP2B1,13
APC,14
APH1A,15
APH2,16
APP,17
APPL2,18
ARA160,19
ARA54,20
ARA70,21
ARAF1,22
ARF4,23
ARRB1,24
ASE1,25
ATF1,26
ATF2,27
ATF3,28
BAG1,29
BCL3,30
BPAG1,31
BPAG2,32
BRCA1,33
BTRC,34
BTRC2,35
CALR,36
CAMK2G,37
CAPN3,38
CASP2,39
CAV1,40
CBL,41
CBLB,42
CCNB1,43
CCND1,44
CD44,45
CDC23,46
CDC25A,47
CDC25B,48
CDC27,49
CDC37,50
CDC42,51
CDH1,52
CDK4,53
CDK6,54
CDK7,55
CDKN1A,56
CHK,57
CIAP2,58
CIN85,59
CIR,60
CK2A1,61
CK2B,62
CLTC,63
CREB,64
CRKL,65
CRM1,66
CSNK1A1,67
CSNK1D,68
CSNK1E,69
CTNNB1,70
CTNND1,71
CUL1,72
CYLD,73
DAAM1,74
DAB2,75
DAP,76
DAXX,77
DCP1A,78
DDX3,79
DKK1,80
DNM,81
DSP,82
DVL3,83
DYRK1A,84
E3B1,85
EBP1,86
EF1A,87
EGFR,88
EIF3S2,89
ELK4,90
EPS15R,91
EPS8,92
ERK1,93
ERK2,94
ERT,95
ETS1,96
FAF1,97
FBXW7,98
FES,99
FHL2,100
FKBP12,101
FKBP51,102
FLIP,103
FLNA,104
FOS,105
FOSB,106
FRAP1,107
FURIN,108
FZD6,109
FZD7,110
G3BP2,111
GAB1,112
GAPDH,113
GAS1,114
GJA1,115
GLG1,116
GP130,117
GRB2,118
GRB7,119
GRIM19,120
GTFII-I,121
HBO1,122
HDAC1,123
HDAC2,124
HDAC6,125
HIPK2,126
HSP90A,127
HSP90B,128
HSPA8,129
ID2,130
IKBA,131
IKKB,132
ITGA6,133
ITGB4,134
ITGB4BP,135
JAG1,136
JAK1,137
JAK2,138
JUNB,139
JUND,140
JUP,141
KIT,142
KPNA2,143
KPNA3,144
KPNA6,145
KPNB1,146
KRT17,147
KRT18,148
KRT7,149
KRT8,150
KTN1,151
LAMR1,152
LRP1,153
LYN,154
MAGI3,155
MAIL,156
MAP1B,157
MAP3K4,158
MCC,159
MCM5,160
MCM7,161
MDM2,162
MEF2A,163
MEK1,164
MEK5,165
MEKK1,166
MET,167
MKP1,168
MMP7,169
MYC,170
NCK,171
NCOA3,172
NCOR1,173
NFKB1,174
NFKB2,175
NFYA,176
NFYC,177
NGAP,178
NIK,179
NKIRAS1,180
NKIRAS2,181
NOTCH1,182
NOTCH2,183
NOTCH3,184
NR3C1,185
NRAS,186
NSMAF,187
NUMB,188
NUP153,189
NUP214,190
OTF1,191
P204,192
P70S6K,193
PAPOLA,194
PARD3,195
PAX5,196
PCAF,197
PIAS1,198
PIAS4,199
PIK3CA,200
PIK3CD,201
PIK3R1,202
PIK3R3,203
PKN2,204
PLCG2,205
PLD1,206
PLD2,207
PLSCR1,208
PML,209
POLR1A,210
POLR1B,211
PPP2CA,212
PRKACA,213
PRKAR1A,214
PRKAR2A,215
PRKCD,216
PRKCL,217
PRKCZ,218
PSEN2,219
PSMB5,220
PSMC2,221
PSMC3,222
PSMD1,223
PSMD12,224
PSMD3,225
PSMD4,226
PSMD7,227
PTK2,228
PTPN12,229
PXN,230
RAC1,231
RACK1,232
RAF1,233
RALB,234
RALBP1,235
RALGDS,236
RAN,237
RANBP9,238
RB,239
RBL2,240
REL,241
RELA,242
REPS1,243
REQ,244
RGS16,245
RHOA,246
RIP2,247
RIPK1,248
RKIP,249
RPA5,250
RPL30,251
RPL4,252
RPL8,253
RPS13,254
RSK1,255
RSK2,256
RSK3,257
SAM68,258
SAP18,259
SAP97,260
SDC2,261
SF1,262
SHC1,263
SHP2,264
SIN3A,265
SINK,266
SKIL,267
SKP1,268
SMAD1,269
SMAD2,270
SMAD3,271
SMAD4,272
SMARCA4,273
SMARCB1,274
SMARCC1,275
SMARCC2,276
SMURF1,277
SNRPD2,278
SNW1,279
SNX1,280
SNX6,281
SOCS6,282
SODD,283
SOS1,284
SOS2,285
SP1,286
SPDEF,287
SPEN,288
SPRED1,289
SPRY2,290
STAT1,291
STAT2,292
STAT3,293
STAT5A,294
STAT5B,295
STK11,296
SUMO1,297
SUMO2,298
SVIL,299
TAB2,300
TAK1,301
TCF12,302
TCF4,303
TFDP1,304
TFDP2,305
TGFB2,306
TGFBR1,307
TGFBR2,308
TLE1,309
TNAP,310
TNIP1,311
TP53,312
TRAF3,313
TRAF4,314
TRAILR1,315
TRUSS,316
UBCH5B,317
UBCH5C,318
UBE2D1,319
UBE2L3,320
UBE3A,321
USP9,322
VDR,323
VIM,324
WDR12,325
WNT5A,326
YAP1,327
YES,328
ZIN,329
ZNF216,330
ZNF259,331
