col1,col2
14-3-3-zeta,0.02727272727272727
AKT1,0.07272727272727272
CDC25A,0.06666666666666667
CDC25B,0.00909090909090909
CSNK1A1,0.01818181818181818
CTNNB1,0.09090909090909091
KRT18,0.03939393939393939
PIK3R1,0.02727272727272727
RAF1,0.12424242424242424
RAN,0.07878787878787878
ABL1,0.10303030303030303
APP,0.030303030303030304
CBL,0.12727272727272726
CDC42,0.051515151515151514
CRKL,0.10303030303030303
FOS,0.11515151515151516
GRB2,0.11515151515151516
MDM2,0.04242424242424243
MYC,0.04242424242424243
NUP214,0.03333333333333333
PLSCR1,0.0030303030303030303
SHC1,0.048484848484848485
STAT5A,0.18181818181818182
TP53,0.1
YAP1,0.0030303030303030303
ACVRL1,0.024242424242424242
CAV1,0.03939393939393939
SMAD1,0.09696969696969697
SMAD2,0.2
SMAD3,0.19393939393939394
SMAD4,0.05454545454545454
TGFBR1,0.08484848484848485
TGFBR2,0.02727272727272727
ADAM17,0.021212121212121213
EGFR,0.12424242424242424
FHL2,0.05454545454545454
FURIN,0.0030303030303030303
NOTCH1,0.030303030303030304
NOTCH2,0.03636363636363636
NOTCH3,0.01818181818181818
ADD1,0.03333333333333333
CSNK1E,0.02727272727272727
HIPK2,0.024242424242424242
JAK1,0.09090909090909091
JAK2,0.16666666666666666
LYN,0.12121212121212122
PKN2,0.01818181818181818
PRKCZ,0.07575757575757576
STK11,0.00909090909090909
AES,0.021212121212121213
CCND1,0.05454545454545454
HDAC1,0.1484848484848485
RELA,0.13333333333333333
TLE1,0.0030303030303030303
AIP4,0.02727272727272727
ARRB1,0.006060606060606061
JUNB,0.051515151515151514
KIT,0.12121212121212122
MET,0.07272727272727272
NUMB,0.00909090909090909
CDC23,0.04242424242424243
NRAS,0.08484848484848485
STAT3,0.12424242424242424
STAT5B,0.12727272727272726
AML1,0.006060606060606061
NCOR1,0.030303030303030304
PPP2CA,0.04242424242424243
ANAPC2,0.02727272727272727
ANAPC5,0.015151515151515152
CCNB1,0.05757575757575758
CDC27,0.00909090909090909
PSMB5,0.00909090909090909
PSMC2,0.03636363636363636
PSMC3,0.01818181818181818
PSMD1,0.02727272727272727
PSMD12,0.03939393939393939
APC,0.06363636363636363
CDH1,0.00909090909090909
APH1A,0.030303030303030304
PLD1,0.012121212121212121
PSEN2,0.024242424242424242
APH2,0.024242424242424242
APPL2,0.015151515151515152
AKT2,0.012121212121212121
HDAC2,0.09393939393939393
ARA54,0.02727272727272727
NCOA3,0.04242424242424243
PIAS1,0.045454545454545456
SPDEF,0.00909090909090909
SVIL,0.02727272727272727
UBE2D1,0.012121212121212121
UBE2L3,0.012121212121212121
ARA70,0.01818181818181818
ARA160,0.015151515151515152
SMARCA4,0.030303030303030304
ARAF1,0.00909090909090909
PRKCD,0.015151515151515152
ARF4,0.006060606060606061
PLD2,0.03333333333333333
ASE1,0.00909090909090909
ATF1,0.03939393939393939
CAPN3,0.00909090909090909
KPNA2,0.07575757575757576
PAX5,0.048484848484848485
STAT1,0.18181818181818182
ATF3,0.012121212121212121
FOSB,0.015151515151515152
BAG1,0.00909090909090909
HSPA8,0.05454545454545454
BCL3,0.021212121212121213
REL,0.024242424242424242
BPAG1,0.012121212121212121
HDAC6,0.024242424242424242
ITGB4,0.024242424242424242
BPAG2,0.01818181818181818
CTNND1,0.006060606060606061
DSP,0.012121212121212121
ITGA6,0.0030303030303030303
BRCA1,0.08181818181818182
CDK4,0.051515151515151514
PCAF,0.03636363636363636
SP1,0.07878787878787878
BTRC2,0.024242424242424242
BTRC,0.01818181818181818
CUL1,0.03636363636363636
FBXW7,0.00909090909090909
SKP1,0.030303030303030304
CAMK2G,0.006060606060606061
RPL8,0.01818181818181818
CASP2,0.030303030303030304
CDK7,0.024242424242424242
NFKB2,0.06363636363636363
RIPK1,0.05454545454545454
RHOA,0.030303030303030304
CBLB,0.08787878787878788
DAB2,0.03333333333333333
FLNA,0.015151515151515152
GAB1,0.045454545454545456
GRB7,0.03636363636363636
PARD3,0.01818181818181818
PTPN12,0.03939393939393939
SOS1,0.08484848484848485
SOS2,0.02727272727272727
PTK2,0.05757575757575758
ID2,0.015151515151515152
MCM7,0.021212121212121213
RAC1,0.06363636363636363
RGS16,0.012121212121212121
CDKN1A,0.030303030303030304
DYRK1A,0.01818181818181818
CD44,0.030303030303030304
MMP7,0.0030303030303030303
VIM,0.015151515151515152
ETS1,0.05757575757575758
NFYA,0.021212121212121213
PRKACA,0.04242424242424243
RBL2,0.024242424242424242
CDC37,0.00909090909090909
CDK6,0.015151515151515152
MCM5,0.021212121212121213
