From,Index
14-3-3-zeta,1
ABIN2,2
ABL1,3
ADAM10,4
ADD1,5
AES,6
AIP4,7
AKT1,8
AKT2,9
ANAPC2,10
ANAPC5,11
AO7,12
AP2B1,13
APC,14
APH1A,15
APH2,16
APP,17
ARA55,18
ARA70,19
ARAF1,20
ARF4,21
ARRB1,22
ARRB2,23
ASE1,24
ATF2,25
ATF3,26
AXIN1,27
BAG1,28
BPAG1,29
BPAG2,30
BRCA1,31
BTK,32
CALR,33
CAMK2D,34
CAMK2G,35
CAPN3,36
CASP10,37
CASP2,38
CASP7,39
CAV1,40
CBLB,41
CCNB1,42
CCNB2,43
CCND1,44
CD151,45
CD44,46
CDC16,47
CDC23,48
CDC25B,49
CDC37,50
CDC42,51
CDH1,52
CDK6,53
CDK7,54
CDK9,55
CDKN1A,56
CDX1,57
CEACAM1,58
CHK,59
CIAP1,60
CIAP2,61
CIN85,62
CIR,63
CK2A1,64
CK2A2,65
CK2B,66
CLCA1,67
CLTC,68
COPS3,69
CREB,70
CREBBP,71
CRK,72
CRKL,73
CRM1,74
CSK,75
CSNK1D,76
CTBP1,77
CTCF,78
CTNNB1,79
CTNND1,80
CUL1,81
CYLD,82
DAAM1,83
DAP,84
DAXX,85
DDEF1,86
DDX3,87
DLL4,88
DNM,89
DOK1,90
DSP,91
DVL1,92
DVL3,93
E3B1,94
EBP1,95
EIF3S2,96
ENG,97
EPS8,98
ERBB2,99
ERK1,100
ERK2,101
ERT,102
ETS1,103
FADD,104
FAF1,105
FBL,106
FHL1,107
FHL2,108
FKBP12,109
FKBP51,110
FLIP,111
FLNA,112
FOS,113
FOSB,114
FOXO1A,115
FZD5,116
FZD7,117
GAB1,118
GAB2,119
GAPDH ,120
GAPDH  ,121
GIPC,122
GJA1,123
GLG1,124
GP130,125
GRB10,126
GRB2,127
HDAC1,128
HDAC2,129
HDAC6,130
HGS,131
HNF4A,132
HRAS,133
HSP90A,134
HSP90B,135
HSPA8,136
ID1,137
ID2,138
IHH,139
IKBA,140
IQGAP2,141
ITGA6,142
ITGB4,143
ITGB4BP,144
ITRAF,145
JNK1,146
JUNB,147
JUP,148
KPNA2,149
KPNB1,150
KRT18,151
KRT8,152
LAMR1,153
LFNG,154
LIP1,155
MAML1,156
MAP2K6,157
MBP,158
MCM5,159
MCM7,160
MEK1,161
MEK2,162
MEK3,163
MEK5,164
MIG6,165
MIZ1,166
MTA2,167
MTIF2,168
MYB,169
MYC,170
NCOR1,171
NFKB1,172
NIK,173
NKD1,174
NKIRAS2,175
NOTCH2,176
NRAS,177
NSMAF,178
NUMB,179
NUP214,180
OTF1,181
P70S6K,182
PAPOLA,183
PARD3,184
PATZ,185
PEN2,186
PIAS4,187
PIK3C2B,188
PIK3CA,189
PIK3CD,190
PLCE1,191
PLCG1,192
PLD1,193
PLD2,194
PLEC1,195
PLSCR1,196
POLR1A,197
POLR1D,198
POLR2L,199
PPP2CA,200
PRKAR1A,201
PRKCA,202
PRKCD,203
PSMB5,204
PSMC2,205
PSMC3,206
PSMD1,207
PSMD13,208
PSMD3,209
PSMD4,210
PSMD7,211
PTK2,212
PTK6,213
PTPN12,214
PXN,215
RAC1,216
RACK1,217
RAF1,218
RALB,219
RALBP1,220
RALGDS,221
RAN,222
RAP30,223
RBBP7,224
RBPSUH,225
RELA,226
REPS1,227
REPS2,228
RGS16,229
RHOA,230
RIPK1,231
RKIP,232
RNF4,233
RPA5,234
RPL30,235
RPL4,236
RPL6,237
RPL8,238
RPS11,239
RPS13,240
SAM68,241
SAP18,242
SAP97,243
SDC2,244
SF1,245
SHC1,246
SHIP2,247
SHP2,248
SKP1,249
SMAD1,250
SMAD2,251
SMAD4,252
SMAD6,253
SMARCA4,254
SMARCB1,255
SMARCC1,256
SMARCC2,257
SMARCE1,258
SMRT,259
SNRPD2,260
SNW1,261
SNX1,262
SNX2,263
SNX4,264
SOCS1,265
SP1,266
SPEN,267
STAT1,268
STAT2,269
STAT3,270
STAT5A,271
STAT5B,272
STK11,273
SUMO2,274
SVIL,275
TAB1,276
TAB2,277
TBP,278
TCF4,279
TFDP1,280
TGFB3,281
TGFBR1,282
TGFBR2,283
TIP1,284
TIP60,285
TLE1,286
TNFR1,287
TNFR2,288
TNIP1,289
TP53,290
TRADD,291
TRAF2,292
TRAF6,293
TRUSS,294
UBC9,295
UBCH5C,296
UXT,297
VANGL2,298
VAV2,299
VDR,300
VIM,301
WASL,302
WDR12,303
YAP1,304
YES,305
