col1,col2
4EBP1,0.01090909090909091
AKT1,0.06545454545454546
CCND1,0.04727272727272727
EIF4E,0.012727272727272728
MAPK14,0.06363636363636363
PTEN,0.04363636363636364
TFDP1,0.005454545454545455
14-3-3-zeta,0.02
BAD,0.012727272727272728
CDC25B,0.01090909090909091
CSNK1A1,0.016363636363636365
CTNNB1,0.0890909090909091
KRT18,0.025454545454545455
MST1R,0.056363636363636366
PIK3R1,0.02181818181818182
PRKCA,0.06181818181818182
RAF1,0.10909090909090909
RAN,0.056363636363636366
A20,0.0018181818181818182
G3BP2,0.01090909090909091
ABIN2,0.02181818181818182
FLNA,0.02
IKBKG,0.05272727272727273
LYN,0.12181818181818181
NFKB1,0.06545454545454546
NFKB2,0.056363636363636366
REL,0.023636363636363636
FHL2,0.038181818181818185
RIPK1,0.06909090909090909
STK11,0.00909090909090909
TAB2,0.04181818181818182
TNF,0.05454545454545454
TRAF2,0.06909090909090909
ABL1,0.10181818181818182
APP,0.025454545454545455
BCAR1,0.08181818181818182
CBL,0.11454545454545455
CCNA2,0.045454545454545456
CDC42,0.05272727272727273
CRK,0.06909090909090909
CRKL,0.10545454545454545
DOK1,0.04727272727272727
FOS,0.08181818181818182
FYN,0.1781818181818182
GRB2,0.12
MDM2,0.04
MYC,0.04363636363636364
NUP214,0.023636363636363636
PLCG1,0.05090909090909091
PLSCR1,0.0036363636363636364
SHC1,0.06181818181818182
SRC,0.11818181818181818
STAT5A,0.1690909090909091
TP53,0.08181818181818182
TP73,0.02909090909090909
YAP1,0.0018181818181818182
ADAM10,0.03272727272727273
CD44,0.02909090909090909
CDH1,0.00909090909090909
DLL1,0.02727272727272727
DLL4,0.01818181818181818
EGFR,0.11090909090909092
FURIN,0.0018181818181818182
JAG1,0.02181818181818182
JAG2,0.02909090909090909
NOTCH1,0.04363636363636364
NOTCH2,0.04727272727272727
NOTCH3,0.02909090909090909
PSEN1,0.06181818181818182
ADD1,0.02909090909090909
CSK,0.11454545454545455
CSNK1E,0.023636363636363636
FGR,0.1
HIPK2,0.016363636363636365
JAK1,0.08545454545454545
JAK2,0.16727272727272727
LCK,0.0890909090909091
PKN2,0.01818181818181818
PRKCZ,0.056363636363636366
TBK1,0.012727272727272728
AES,0.02
CREBBP,0.17636363636363636
CTBP1,0.04181818181818182
HDAC1,0.11818181818181818
LEF1,0.02
PRMT1,0.005454545454545455
RELA,0.10909090909090909
TLE1,0.0018181818181818182
AIP4,0.023636363636363636
ARRB1,0.007272727272727273
ARRB2,0.02
HGS,0.05090909090909091
JUNB,0.04
KIT,0.11818181818181818
MET,0.07090909090909091
NUMB,0.007272727272727273
SMAD3,0.16727272727272727
SMAD7,0.02181818181818182
AKAP95,0.00909090909090909
CASP3,0.08
CCNE1,0.03636363636363636
PRKAR2A,0.01818181818181818
NRAS,0.06545454545454546
PRKCI,0.04727272727272727
STAT3,0.12181818181818181
STAT5B,0.12727272727272726
AML1,0.01090909090909091
CTCF,0.005454545454545455
HAT1,0.005454545454545455
NCOR1,0.025454545454545455
PPP2CA,0.034545454545454546
RUVBL1,0.00909090909090909
TBP,0.02727272727272727
ANAPC2,0.02909090909090909
ANAPC4,0.02727272727272727
ANAPC5,0.014545454545454545
ANAPC7,0.0036363636363636364
CCNB1,0.06
CDC16,0.02909090909090909
CDC27,0.007272727272727273
CDK2,0.06727272727272728
FZR1,0.02909090909090909
PSMB5,0.00909090909090909
PSMC2,0.034545454545454546
PSMC3,0.01818181818181818
PSMD1,0.02181818181818182
PSMD12,0.04
PSMD13,0.02181818181818182
UBE2E1,0.00909090909090909
SMAD1,0.0890909090909091
SMAD2,0.17272727272727273
TGFB1,0.04909090909090909
AO7,0.00909090909090909
CDC34,0.012727272727272728
NKD1,0.025454545454545455
RNF4,0.007272727272727273
UBE2D1,0.007272727272727273
AP2,0.0018181818181818182
APC,0.05454545454545454
APH1A,0.02727272727272727
PLD1,0.012727272727272728
PSEN2,0.02727272727272727
TRAF6,0.056363636363636366
APH2,0.023636363636363636
APPL2,0.01818181818181818
AKT2,0.007272727272727273
HDAC2,0.07636363636363637
HNF4A,0.007272727272727273
MTA2,0.014545454545454545
PIK3CB,0.02181818181818182
RBBP7,0.00909090909090909
ARA55,0.038181818181818185
GIT1,0.02181818181818182
NCOA2,0.00909090909090909
NCOA3,0.038181818181818185
PAK1,0.03090909090909091
PTK2,0.06
PTPN12,0.03636363636363636
PXN,0.00909090909090909
RHOA,0.025454545454545455
SPDEF,0.005454545454545455
SVIL,0.023636363636363636
TGFBR2,0.025454545454545455
TRAF4,0.0036363636363636364
ARA70,0.016363636363636365
HRAS,0.02
PAK6,0.007272727272727273
ARA160,0.00909090909090909
PIAS1,0.03272727272727273
SMARCA4,0.025454545454545455
ARAF1,0.00909090909090909
PRKCD,0.014545454545454545
ARF4,0.005454545454545455
PLD2,0.03090909090909091
ARNIP,0.01090909090909091
CAV1,0.034545454545454546
DVL3,0.025454545454545455
ASE1,0.00909090909090909
ATF1,0.03090909090909091
CAPN3,0.005454545454545455
KPNA2,0.06363636363636363
STAT1,0.1690909090909091
TCF3,0.07818181818181819
YY1,0.01818181818181818
ATF3,0.007272727272727273
FOSB,0.00909090909090909
AXAM2,0.02
AXIN1,0.034545454545454546
DVL1,0.04363636363636364
DVL2,0.02
KPNB1,0.034545454545454546
NUP153,0.04
PML,0.01090909090909091
SUMO1,0.02181818181818182
SUMO2,0.014545454545454545
JUP,0.03636363636363636
SMURF2,0.023636363636363636
TGFBR1,0.07272727272727272
BAE53A,0.016363636363636365
SMARCB1,0.02727272727272727
SMARCC1,0.02909090909090909
SMARCC2,0.014545454545454545
SMARCE1,0.007272727272727273
BAG1,0.005454545454545455
HSPA8,0.04363636363636364
CASP8,0.04363636363636364
CBLB,0.08545454545454545
CDC2,0.023636363636363636
EPOR,0.04909090909090909
EPS15,0.03272727272727273
IQGAP2,0.016363636363636365
ITGB4,0.025454545454545455
NCK2,0.07090909090909091
PIK3R2,0.08181818181818182
SNX2,0.00909090909090909
SOS1,0.07818181818181819
WASL,0.08727272727272728
BCL3,0.012727272727272728
RELB,0.04909090909090909
BCL7A,0.0036363636363636364
PDCD2,0.0018181818181818182
BPAG1,0.007272727272727273
HDAC6,0.016363636363636365
BPAG2,0.012727272727272728
CD151,0.0018181818181818182
CTNND1,0.005454545454545455
DSP,0.00909090909090909
ITGA6,0.005454545454545455
BRCA1,0.07090909090909091
CCNB2,0.04181818181818182
