col1,col2
4EBP1,0.031075804851378522
AKT1,0.13667034714409212
CCND1,-0.014078794264482341
EIF4E,0.02197813214780286
MAPK14,0.01564685563664659
PTEN,0.06034264071866855
TFDP1,-0.0020084143430705668
14-3-3-zeta,0.059651406193652175
BAD,0.07449216790048908
CDC25B,-0.020187287023764055
CSNK1A1,0.03558336120440228
CTNNB1,-0.048801013682052384
KRT18,0.0608547585448691
MST1R,-0.003652747825520645
PIK3R1,0.04543786153687308
PRKCA,0.07785903698117479
RAF1,0.10881209681533142
RAN,0.03723819886649909
A20,0.012463858687427092
G3BP2,0.032431305400142975
ABIN2,-0.02718827296508294
FLNA,-0.02619548988130731
IKBKG,-0.05093196515093061
LYN,-0.07940863666677966
NFKB1,-0.027001229701809234
NFKB2,0.013737648359715799
REL,0.05335634910139869
FHL2,-0.03935061838069189
RIPK1,-0.05590952224748111
STK11,0.02147690338847379
TAB2,-0.035904949538142335
TNF,-0.03673047677375335
TRAF2,-0.1012280236336501
ABL1,-0.09322625739477317
APP,-0.0004924744046373098
BCAR1,0.010597513625668603
CBL,-0.02639701497727222
CCNA2,-0.10744242365037414
CDC42,0.05408945060761496
CRK,-0.049576818684848666
CRKL,-0.018159213908336254
DOK1,-0.032326533493830335
FOS,0.11623302828200129
FYN,0.0333956355321187
GRB2,0.025322911046897243
MDM2,-0.010936592196663675
MYC,-0.036501554721364536
NUP214,-0.007293390386982611
PLCG1,-0.04460193979143435
PLSCR1,-4.3991745936874985e-05
SHC1,-0.029387338464807854
SRC,-0.004975074602707888
STAT5A,0.058418069182695494
TP53,-0.011227319411175834
TP73,-0.05771059224257974
YAP1,-0.00010189759206452951
ADAM10,-0.03683021696440393
CD44,0.04167956868432082
CDH1,0.004025169937369116
DLL1,-0.04811905336580039
DLL4,-0.026465521560556513
EGFR,-0.0009518035884737186
FURIN,0.005537706450972399
JAG1,-0.03571551052190445
JAG2,-0.03951838402326965
NOTCH1,-0.03573768884897179
NOTCH2,-0.06954249837667238
NOTCH3,-0.04667398935313132
PSEN1,-0.03735501565236187
ADD1,0.03574630126361853
CSK,-0.08749954639959892
CSNK1E,0.048055079529599976
FGR,-0.07174198967954844
HIPK2,-0.009016788176111526
JAK1,-0.02546475289182347
JAK2,0.11442511156168152
LCK,-0.0659851950028128
PKN2,0.03198713706997085
PRKCZ,0.12896906494974444
TBK1,0.029344119933436694
AES,0.00784845251826313
CREBBP,-0.06442859427245347
CTBP1,-0.04338302803858394
HDAC1,0.06893191659137424
LEF1,-0.013237216961342495
PRMT1,0.00881724881651574
