From,Index
14-3-3-zeta,1
4EBP1,2
A20,3
ABIN2,4
ABL1,5
ADAM10,6
ADD1,7
AES,8
AIP4,9
AKT1,10
AKT2,11
ANAPC4,12
ANAPC5,13
AP2,14
AP2A1,15
AP2B1,16
APC,17
APH1A,18
APH2,19
APP,20
APS,21
ARA54,22
ARA55,23
ARA70,24
ARAF1,25
ARF4,26
ARNIP,27
ARRB1,28
ARRB2,29
ASCL1,30
ATF1,31
ATF2,32
ATF3,33
AXAM2,34
AXIN1,35
BAG1,36
BCAR1,37
BCL3,38
BCL7A,39
BP75,40
BPAG1,41
BPAG2,42
BRCA1,43
BTRC,44
BTRC2,45
CALR,46
CAMK2A,47
CAMK2B,48
CAMK2D,49
CAMK2G,50
CAPN3,51
CASP3,52
CASP7,53
CASP8,54
CASP9,55
CAV1,56
CBLB,57
CCNA2,58
CCNB1,59
CCNB2,60
CCND1,61
CCNE1,62
CD151,63
CD44,64
CDC16,65
CDC2,66
CDC23,67
CDC25A,68
CDC25B,69
CDC27,70
CDC34,71
CDC37,72
CDC42,73
CDH1,74
CDK4,75
CDK6,76
CDK7,77
CDK9,78
CDKN1A,79
CEBPA,80
CHK,81
CIAP1,82
CIAP2,83
CIN85,84
CIR,85
CITED1,86
CK2A1,87
CK2A2,88
CK2B,89
CLTC,90
COPS3,91
COPS5,92
CREB,93
CREBBP,94
CRK,95
CRKL,96
CRM1,97
CSK,98
CSNK1A1,99
CSNK1D,100
CSNK1E,101
CTBP1,102
CTBP2,103
CTCF,104
CTNNB1,105
CTNND1,106
CUL1,107
DAB2,108
DAP,109
DAXX,110
DCP1A,111
DDEF1,112
DDX3,113
DNM,114
DOK1,115
DVL1,116
DVL2,117
DVL3,118
DYRK1A,119
E2F4,120
E2F5,121
E3B1,122
EBP1,123
EF1A,124
EGFR,125
EIF3S2,126
EIF4E,127
ELK1,128
ENG,129
EPOR,130
EPS15,131
EPS15R,132
EPS8,133
ERBB2,134
ERK1,135
ERK2,136
ERK5,137
ERM,138
ERT,139
ETS1,140
FADD,141
FAF1,142
FANCD2,143
FBL,144
FBXW7,145
FES,146
FGR,147
FHL1,148
FHL2,149
FKBP12,150
FKBP51,151
FLIP,152
FLNA,153
FOS,154
FOXO4,155
FRAP1,156
FRP2,157
FURIN,158
FYN,159
FZD6,160
FZD7,161
FZR1,162
G3BP2,163
GAB2,164
GAPDH,165
GAS1,166
GIPC,167
GIT1,168
GJA1,169
GLG1,170
GLI1,171
GP130,172
GRB10,173
GRB2,174
GRIM19,175
GSK3B,176
GTFII-I,177
HAT1,178
HBO1,179
HD,180
HDAC1,181
HDAC2,182
HDAC6,183
HES1,184
HEY1,185
HGS,186
HHIP,187
HIPK2,188
HIVEP3,189
HRAS,190
HSP27,191
HSP90A,192
HSP90B,193
HSPA8,194
ID1,195
ID2,196
ID3,197
IKBA,198
IKBE,199
IKBKAP,200
IKBKG,201
IKKB,202
IKKE,203
IQGAP2,204
ITGA6,205
ITGB4,206
ITGB4BP,207
ITRAF,208
JAG1,209
JAK1,210
JAK2,211
JNKK2,212
JUNB,213
JUND,214
JUP,215
KIT,216
KPNA2,217
KPNA3,218
KPNA6,219
KPNB1,220
KRAS2,221
KRT17,222
KRT18,223
KRT7,224
KRT8,225
KTN1,226
LAMR1,227
LEF1,228
LFNG,229
LIP1,230
LRP1,231
LRP5,232
LYN,233
MAIL,234
MAML1,235
MAML2,236
MAP1B,237
MAP3K4,238
MAPK14,239
MBP,240
MCC,241
MCM5,242
MCM7,243
MEF2A,244
MEK1,245
MEK2,246
MEK3,247
MEK5,248
MEKK1,249
MEKK3,250
MET,251
MITF,252
MIZ1,253
MKP1,254
MMP7,255
MTIF2,256
MYC,257
NCK2,258
NCOA3,259
NCOR1,260
NFKB1,261
NFYB,262
NFYC,263
NIK,264
NKIRAS2,265
NLK,266
NOTCH2,267
NOTCH3,268
NR3C1,269
NRAS,270
NSMAF,271
NUMB,272
NUMBL,273
NUP153,274
NUP214,275
OTF1,276
P204,277
P70S6K,278
PAF53,279
PAK1,280
PAPOLA,281
PARD3,282
PATZ,283
PAX8,284
PDCD2,285
PEN2,286
PIAS1,287
PIAS3,288
PIAS4,289
PIK3C2B,290
PIK3CB,291
PIK3R1,292
PIK3R2,293
PIK3R3,294
PIN1,295
PITPN,296
PKN1,297
PKN2,298
PLCE1,299
PLCG1,300
PLCG2,301
PLD2,302
PLEC1,303
PLSCR1,304
PML,305
POFUT1,306
POLR1B,307
POLR1D,308
POLR2L,309
PPP2CA,310
PPP2R2A,311
PPP2R5B,312
PRKACA,313
PRKAR1A,314
PRKAR2A,315
PRKCA,316
PRKCB,317
PRKCD,318
PRKCG,319
PRKCL,320
PRKCM,321
PRKCZ,322
PRMT1,323
PSD93,324
PSD95,325
PSEN1,326
PSEN2,327
PSMB5,328
PSMC1,329
PSMC2,330
PSMC3,331
PSMD1,332
PSMD12,333
PSMD13,334
PSMD3,335
PSMD4,336
PSMD7,337
PTEN,338
PTK2,339
PTPN12,340
PXN,341
PYK2,342
RAB5,343
RAC1,344
RACK1,345
RAD54L2,346
RAF1,347
RAI,348
RALB,349
RALBP1,350
RALGDS,351
RAN,352
RANBP9,353
RAP74,354
RB,355
RBBP7,356
RBL2,357
RBPSUH,358
RBX1,359
RELA,360
RELB,361
REPS1,362
REQ,363
RGS16,364
RHOA,365
RING1,366
RIP2,367
RIPK1,368
RKIP,369
RNF4,370
ROR2,371
RPA5,372
RPL30,373
RPL4,374
RPL6,375
RPL8,376
RPS11,377
RPS13,378
RSK1,379
RSK3,380
RTKN,381
RUVBL1,382
SAM68,383
SAP18,384
SAP97,385
SCF,386
SDC2,387
SENP1,388
SF1,389
SH2D3C,390
SH3GL2,391
SHC1,392
SHIP,393
SHIP2,394
SHOC2,395
SHP2,396
SIN3A,397
SINK,398
SKP1,399
SKP2,400
SMAD2,401
SMAD3,402
SMAD4,403
SMARCA4,404
SMARCB1,405
SMARCC1,406
SMARCC2,407
SMARCE1,408
SMOH,409
SMRT,410
SMURF1,411
SMURF2,412
SNRPD2,413
SNW1,414
SNX1,415
SNX2,416
SNX4,417
SNX6,418
SOCS5,419
SODD,420
SOS2,421
SPEN,422
SPRED1,423
SPRY2,424
SRC,425
STAMBPL1,426
STAT1,427
STAT2,428
STAT3,429
STAT5B,430
STEP,431
STK11,432
STK36,433
STUB1,434
STXBP1,435
SUMO1,436
SUMO2,437
SVIL,438
T2BP,439
TAB1,440
TAB2,441
TAK1,442
TBK1,443
TBP,444
TBPIP,445
TCF12,446
TCF3,447
TCF4,448
TCF8,449
TFDP1,450
TGFB1,451
TGFB3,452
TGFBR2,453
TGFBRAP1,454
TIEG2,455
TIP1,456
TIP60,457
TLE1,458
TNAP,459
TNIP1,460
TP53,461
TRADD,462
TRAF1,463
TRAF2,464
TRAF3,465
TRAF4,466
TRAF5,467
