col1,col2
4EBP1,0.005236616021946566
AKT1,0.05208065749446195
CCND1,0.02756174652087353
EIF4E,0.004420694711404142
MAPK14,0.03836801702233249
PTEN,0.051637794935443904
TFDP1,0.0007433023373045706
14-3-3-zeta,0.01455663358209629
CDC25A,0.05516206743470951
CDC25B,0.01208689226057666
CSNK1A1,0.00252679015318769
CTNNB1,0.06330159554746609
FOXO4,0.01220834620010193
KRT18,0.028965491961134796
PIK3R1,0.010371965090113582
PRKCA,0.07699226444043107
RAF1,0.13027187327442857
RAN,0.04197131920359809
A20,0.00012228122760393295
G3BP2,0.0040820735984614855
ABIN2,0.011841341445503726
FLNA,0.01591036463519055
IKBKG,0.033300104700954784
LYN,0.1685587196956232
NFKB1,0.014616119457981913
RELA,0.08853028151376557
RIPK1,0.0320059821134069
STK11,0.009103765914946686
TAB2,0.008196680192697663
TRAF2,0.02507354947795792
ABL1,0.14535284874354348
APP,0.02556395931424594
BCAR1,0.1376399501979762
CCNA2,0.017535876166238834
CDC42,0.05511500167133601
CRK,0.10060922767381862
CRKL,0.16220178295117157
DOK1,0.09066773719662741
FOS,0.07485613525937686
FYN,0.20827339078111357
GRB2,0.16480459619731674
MYC,0.023928998167757533
NUP214,0.021768719620265067
PLCG1,0.07677966436560803
PLSCR1,0.00802112140857986
SHC1,0.09009887992484328
SRC,0.17020473472131875
TP53,0.05811599362108094
YAP1,0.004380889432100704
ADAM10,0.011644025502279026
CD44,0.04253985763784516
CDH1,0.0030704270302068563
EGFR,0.15210304428017304
FHL2,0.024830611636113182
FURIN,0.0003488045225854895
JAG1,0.00353966517832026
NOTCH2,0.016333648084245058
NOTCH3,0.005738550742963388
PSEN1,0.038102850495488914
ADD1,0.04454416889479398
CSK,0.17523346263193132
CSNK1E,0.022185317109221007
FGR,0.16100336953379135
HIPK2,0.010302109106311026
JAK1,0.14446417081866084
JAK2,0.2014430559700182
PKN2,0.024725900628603543
PRKCZ,0.07123620529137528
TBK1,0.013288759520257385
AES,0.014074010429190232
CREBBP,0.12865441759131055
CTBP1,0.038530529265195984
HDAC1,0.07639463142492532
LEF1,0.02067106745038302
PRMT1,0.0018331508596565013
