From	To
4EBP1	AKT1
4EBP1	35
4EBP1	155
4EBP1	TFDP1
1	AKT1
1	BAD
1	62
1	65
1	KRT18
1	201
1	224
3	100
3	LYN
3	173
3	NFKB2
3	229
3	RIPK1
3	277
3	TAB2
3	298
4	14
4	CBL
4	CCNA2
4	42
4	CRK
4	60
4	65
4	101
4	FYN
4	118
4	170
4	249
4	SRC
4	294
4	YAP1
add1	4
add1	AKT1
add1	CSK
add1	CSNK1E
add1	HIPK2
add1	143
add1	LYN
add1	201
add1	277
6	ARRB2
6	128
6	JUNB
6	LYN
6	164
6	180
6	257
AKAP95	30
AKAP95	35
AKAP95	170
AKT1	CCNA2
AKT1	FYN
AKT1	201
AKT1	202
AKT1	275
AKT1	STAT5B
AML1	64
AML1	121
AML1	172
AML1	199
AML1	RUVBL1
ANAPC2	ANAPC4
ANAPC2	8
ANAPC2	CCNB1
ANAPC2	38
ANAPC2	44
ANAPC2	FZR1
ANAPC2	205
ANAPC2	207
ANAPC2	208
ANAPC2	209
ANAPC2	211
ANAPC2	UBE2E1
ANAPC4	8
ANAPC4	CCNB1
ANAPC4	38
ANAPC4	44
ANAPC4	FZR1
ANAPC4	205
ANAPC4	207
ANAPC4	208
ANAPC4	209
ANAPC4	211
ANAPC4	UBE2E1
8	SMAD1
8	257
8	287
AO7	229
AO7	234
AO7	UBE2D1
12	14
12	65
12	176
12	NOTCH3
13	12
13	14
13	65
13	176
13	NOTCH3
14	60
14	FYN
APPL2	123
APPL2	124
APPL2	225
16	FHL2
16	171
16	172
16	PIAS1
16	224
16	UBE2D1
16	UBE2E1
16	306
ARA55	CRK
ARA55	60
ARA55	CSK
ARA55	101
ARA55	FYN
ARA55	GIT1
ARA55	171
ARA55	PAK1
ARA55	PTK2
ARA55	215
ARA55	216
ARA55	224
ARA55	232
ARA55	257
ARA55	SRC
ARA55	288
17	FHL2
17	HRAS
17	171
17	224
18	HRAS
18	201
18	PRKCB
19	193
ARNIP	ARRB2
ARNIP	33
ARNIP	GIT1
ARNIP	201
ARNIP	PRKCB
ARRB2	78
ARRB2	FYN
ARRB2	128
ASE1	CCNA2
ASE1	CCNB1
ASE1	38
ASE1	172
BAF53A	121
BAF53A	170
BAF53A	RUVBL1
BAF53A	260
BAF53A	SMARCB1
BAF53A	261
BAF53A	262
BAF53A	263
22	133
BP75	36
BP75	PCAF
24	65
24	101
24	125
BTRC2	12
BTRC2	BTRC
BTRC2	65
BTRC2	67
BTRC2	FBXW7
BTRC2	GSK3B
BTRC2	RBX1
BTRC2	255
BTRC2	SKP2
BTRC2	306
26	257
26	275
26	STAT5B
29	47
29	94
29	FYN
29	123
29	124
29	NFKB2
29	RIPK1
30	31
30	CBL
30	34
30	37
30	CRK
30	CSK
30	65
30	88
30	100
30	FYN
30	176
30	NOTCH3
30	PIK3R2
30	193
30	202
30	249
30	274
30	298
31	CSK
33	CBL
33	60
33	CSK
33	ERBB2
33	116
33	LYN
33	232
33	SRC
33	274
33	STAT5B
CBL	11
CBL	34
CBL	CDC25C
CBL	CRK
CBL	60
CBL	CSK
CBL	65
CBL	70
CBL	87
CBL	ERBB2
CBL	100
CBL	FYN
CBL	116
CBL	118
CBL	HD
CBL	143
CBL	KRT18
CBL	LYN
CBL	164
CBL	NCK2
CBL	PIK3R2
CBL	215
CBL	249
CBL	SRC
CBL	274
CBL	275
CBL	STAT5B
CBL	WASL
34	4
34	11
34	CRK
34	60
34	CSK
34	70
34	87
34	ERBB2
34	100
34	FYN
34	116
34	118
34	HD
34	143
34	LYN
34	164
34	PIK3R2
34	PTK2
34	215
34	249
34	SRC
34	274
34	275
34	STAT5B
34	WASL
CCNA2	CCNB1
CCNA2	CCNB2
CCNA2	35
CCNA2	36
CCNA2	44
CCNA2	45
CCNA2	47
CCNA2	E2F4
CCNA2	123
CCNA2	134
CCNA2	157
CCNA2	SP1
CCNB1	CCNB2
CCNB1	CDC25C
CCNB1	42
CCNB1	44
CCNB1	45
CCNB1	65
CCNB1	100
CCNB1	FOXO1A
CCNB1	FZR1
CCNB1	GIT1
CCNB1	125
CCNB1	126
CCNB1	133
CCNB1	134
CCNB1	157
CCNB1	PKN1
CCNB1	201
CCNB1	207
CCNB1	219
CCNB1	294
CCNB1	298
CCNB2	4
CCNB2	36
CCNB2	CDC25C
CCNB2	44
CCNB2	47
CCNB2	48
CCNB2	93
CCNB2	FOXO1A
CCNB2	FZR1
CCNB2	135
CCNB2	156
CCNB2	157
CCNB2	201
CCNB2	207
CCNB2	226
CCNB2	RPS11
35	45
35	48
35	79
35	123
35	124
35	202
35	257
36	44
36	47
36	65
36	FZR1
36	ITGB4BP
36	LYN
36	156
37	ERBB2
37	202
37	257
37	287
38	CCNA2
38	CCNB2
38	44
38	47
38	65
38	FZR1
38	ITGB4BP
38	LYN
38	156
38	207
CDC25C	26
CDC25C	CCNA2
CDC25C	44
CDC25C	48
CDC25C	100
CDC25C	155
CDC25C	PIN1
CDC25C	PKN1
CDC25C	294
41	FZR1
41	123
41	124
42	AKT1
42	PAK1
42	202
42	SRC
42	WASL
44	45
44	47
44	48
44	65
44	FZR1
44	GIT1
44	124
44	134
44	156
44	157
44	201
44	207
44	SMAD1
44	274
45	48
45	64
45	156
45	157
45	PRKACA
45	SMAD1
45	257
45	SP1
45	287
47	11
47	102
47	FZR1
47	134
47	135
47	155
47	294
48	FZR1
48	123
48	124
50	AKT1
50	30
50	31
50	94
50	173
50	RIPK1
50	298
CIN85	10
CIN85	CBL
CIN85	34
CIN85	42
CIN85	70
CIN85	88
CIN85	118
CIN85	128
CIN85	154
CIN85	164
CIN85	SPRY2
CIN85	SRC
52	123
52	124
52	125
52	172
52	243
52	265
53	APPL2
53	65
53	DVL1
53	77
53	78
53	101
53	123
53	124
53	170
53	193
53	225
53	229
CK2A2	41
CK2A2	65
CK2A2	DVL1
CK2A2	77
CK2A2	78
CK2A2	101
CK2A2	123
CK2A2	170
CK2A2	PIN1
CK2A2	229
54	62
54	63
54	CSNK1E
54	FAF1
54	GSK3B
54	168
55	88
55	123
55	124
55	128
55	KRT18
55	NUP153
55	183
55	257
55	WASL
56	57
56	213
56	SMAD1
57	257
CRK	CSK
CRK	ERBB2
CRK	FYN
CRK	118
CRK	143
CRK	LYN
CRK	164
CRK	PTK2
CRK	SRC
CRK	274
CRK	275
60	42
60	CSK
60	CSNK1E
60	87
60	FYN
60	GIT1
60	116
60	118
60	143
60	LYN
60	164
60	NCK2
60	PIK3R2
60	199
60	201
60	PTK2
60	215
60	219
60	257
60	270
60	SRC
60	274
60	STAT2
60	275
60	STAT5B
60	298
60	WASL
61	11
61	CCNB1
61	CRK
61	65
61	123
61	173
61	NUP153
61	224
61	229
61	274
61	294
CSK	4
CSK	CTBP1
CSK	70
CSK	87
CSK	FYN
CSK	116
CSK	118
CSK	HD
CSK	143
CSK	144
CSK	LYN
CSK	164
CSK	NCK2
CSK	PIK3CD
CSK	PIK3R2
CSK	193
CSK	200
CSK	201
CSK	PTK2
CSK	249
CSK	SMAD1
CSK	257
CSK	SRC
CSK	274
CSK	STAT2
CSK	275
CSK	STAT5B
63	62
63	77
63	78
63	IKBKAP
CSNK1E	11
CSNK1E	88
CSNK1E	FYN
CSNK1E	IKBKAP
CSNK1E	STAT5B
CTBP1	DAXX
CTBP1	93
CTBP1	HD
CTBP1	123
CTBP1	171
CTBP1	PIK3CD
CTBP1	229
CTBP1	SPEN
CTBP1	274
CTBP1	STAT2
CTBP2	123
CTBP2	124
64	SP1
65	11
65	FYN
65	123
65	124
65	176
65	SMAD1
65	257
67	BTRC
67	44
67	48
67	57
67	65
67	FBXW7
67	FZR1
67	173
67	214
67	RBX1
67	255
67	SKP2
67	257
70	FYN
70	LYN
70	PIK3R2
70	SMAD1
70	257
70	274
70	287
70	WASL
71	94
71	196
DAXX	94
DAXX	123
DAXX	144
DAXX	RIPK1
DAXX	257
DAXX	SP1
DAXX	274
73	19
73	CBL
73	34
73	CRK
73	118
73	PTK2
73	216
73	SRC
74	CCNA2
74	108
74	GSK3B
74	SP1
DVL1	11
DVL1	ARRB2
DVL1	CSNK1E
DVL1	65
DVL1	66
DVL1	77
DVL1	78
DVL1	104
DVL1	105
DVL1	106
DVL1	107
DVL1	FZD7
DVL1	GSK3B
DVL1	176
DVL1	219
DVL1	312
77	62
77	78
78	62
78	257
79	128
79	SMAD1
79	257
79	287
E2F5	CCNA2
E2F5	E2F4
E2F5	260
E2F5	STAT2
E2F5	294
80	4
80	AKT1
80	42
80	CRK
80	90
80	LYN
80	170
80	219
80	SRC
80	WASL
81	ERBB2
81	124
81	145
81	PAK1
81	201
81	236
81	237
81	239
82	BAD
82	307
85	199
85	209
85	260
86	37
86	SMAD1
86	SP1
86	287
86	TGFB3
86	288
87	4
87	FYN
87	118
87	143
87	LYN
87	PIK3R2
87	SRC
87	274
87	275
87	STAT5B
87	WASL
88	ERBB2
88	118
88	128
88	239
ERBB2	4
ERBB2	11
ERBB2	FYN
ERBB2	116
ERBB2	118
ERBB2	128
ERBB2	KRT18
ERBB2	150
ERBB2	LYN
ERBB2	164
ERBB2	NCK2
ERBB2	PIK3R2
ERBB2	193
ERBB2	201
ERBB2	PTK2
ERBB2	RIPK1
ERBB2	249
ERBB2	SRC
ERBB2	274
ERBB2	275
ERBB2	STAT5B
ERBB2	WASL
ERK1	AKT1
ERK1	ARRB2
ERK1	BAD
ERK1	CBL
ERK1	37
ERK1	44
ERK1	45
ERK1	56
ERK1	60
ERK1	CSK
ERK1	65
ERK1	79
ERK1	87
ERK1	93
ERK1	101
ERK1	FYN
ERK1	116
ERK1	123
ERK1	128
ERK1	133
ERK1	134
ERK1	143
ERK1	JUNB
ERK1	KRT18
ERK1	LYN
ERK1	NCK2
ERK1	171
ERK1	NUP153
ERK1	PCAF
ERK1	PIK3R2
ERK1	199
ERK1	PRKACA
ERK1	201
ERK1	202
ERK1	224
ERK1	226
ERK1	229
ERK1	RIPK1
ERK1	247
ERK1	249
ERK1	257
ERK1	260
ERK1	SP1
ERK1	SRC
ERK1	274
ERK1	275
ERK1	STAT5B
ERK1	294
ERK1	309
ERK1	WASL
91	AKT1
91	CBL
91	34
91	44
91	60
91	87
