From,Index
14-3-3-zeta,1
A20,2
ABIN2,3
ABL1,4
ADAM10,5
AIP4,6
AKT2,7
ANAPC5,8
ANKRD6,9
AP2B1,10
APC,11
APH1A,12
APH2,13
APP,14
ARA160,15
ARA54,16
ARA70,17
ARAF1,18
ARF4,19
ATF3,20
AXAM2,21
BAG1,22
BCAR1,23
BPAG1,24
CALR,25
CAMK2D,26
CAMK2G,27
CAPN3,28
CASP2,29
CASP3,30
CASP7,31
CASP8,32
CAV1,33
CBLB,34
CCND1,35
CCNH,36
CD44,37
CDC16,38
CDC23,39
CDC25B,40
CDC37,41
CDC42,42
CDH1,43
CDK2,44
CDK4,45
CDK6,46
CDK7,47
CDKN1A,48
CEACAM1,49
CIAP1,50
CIAP2,51
CIR,52
CK2A1,53
CK2B,54
CLTC,55
COPS3,56
COPS5,57
CREB,58
CREBBP,59
CRKL,60
CRM1,61
CSNK1A1,62
CSNK1D,63
CTCF,64
CTNNB1,65
CTNND1,66
CUL1,67
CYLD,68
DAAM1,69
DAB2,70
DAP,71
DCP1A,72
DDEF1,73
DDX3,74
DNM,75
DSP,76
DVL2,77
DVL3,78
DYRK1A,79
E3B1,80
EBP1,81
EF1A,82
EGF,83
EGFR,84
EIF3S2,85
ENG,86
EPOR,87
EPS15,88
EPS15R,89
EPS8,90
ERK2,91
ERT,92
ETS1,93
FADD,94
FBL,95
FHL1,96
FKBP12,97
FKBP51,98
FLIP,99
FLNA,100
FOS,101
FRAP1,102
FRP2,103
FZD1,104
FZD4,105
FZD5,106
FZD6,107
G3BP2,108
GAB1,109
GAPDH,110
GAS1,111
GJA1,112
GLG1,113
GLI1,114
GP130,115
GRB10,116
GRB14,117
GRB2,118
GRB7,119
GRIM19,120
HAT1,121
HBO1,122
HDAC1,123
HDAC2,124
HDAC6,125
HES1,126
HEY1,127
HGS,128
HHIP,129
HIP1,130
HSP90A,131
HSP90B,132
HSPA8,133
ID2,134
ID3,135
ID4,136
IDAX,137
IKBA,138
IKKB,139
IKKE,140
IQGAP2,141
ITRAF,142
JAK1,143
KPNA2,144
KPNA3,145
KPNA6,146
KPNB1,147
KRAS2,148
KRT7,149
KRT8,150
KTN1,151
LIP1,152
MAGI3,153
MAP3K4,154
MAPK14,155
MCM5,156
MCM7,157
MEF2A,158
MEK1,159
MEK3,160
MEK5,161
MEKK1,162
MEKK3,163
MET,164
MITF,165
MKP1,166
MMP7,167
MTIF2,168
MUPP1,169
MYC,170
NCOA3,171
NCOR1,172
NFKB1,173
NIK,174
NKIRAS2,175
NOTCH2,176
NOTCH4,177
NR3C1,178
NRAS,179
NUMB,180
NUP214,181
PAF53,182
PAPOLA,183
PARD3,184
PATZ,185
PEN2,186
PIAS3,187
PIK3C2B,188
PIK3CB,189
PIK3R1,190
PLCG1,191
PLD1,192
PLD2,193
PLEC1,194
PLSCR1,195
PML,196
POFUT1,197
POLR1B,198
PPP2CA,199
PRKAR1A,200
PRKCA,201
PRKCI,202
PSEN1,203
PSEN2,204
PSMB5,205
PSMC1,206
PSMC2,207
PSMC3,208
PSMD1,209
PSMD12,210
PSMD13,211
PSMD3,212
PSMD4,213
PSMD7,214
PTPN12,215
PXN,216
RAB23,217
RAB5,218
RAC1,219
RACK1,220
RAF1,221
RAI,222
RALB,223
RAN,224
RBBP7,225
RBL2,226
RBPSUH,227
REL,228
RELA,229
REPS1,230
REQ,231
RHOA,232
RKIP,233
RNF4,234
RPA5,235
RPL30,236
RPL4,237
RPL6,238
RPL8,239
RPS13,240
RSK2,241
SAM68,242
SAP18,243
SAP97,244
SCF,245
SDC2,246
SF1,247
SH2D3C,248
SHC1,249
SHIP,250
SHIP2,251
SHOC2,252
SHP2,253
SIN3A,254
SKP1,255
SMAD2,256
SMAD3,257
SMAD4,258
SMAD7,259
SMARCA4,260
SMARCC1,261
SMARCC2,262
SMARCE1,263
SNIP1,264
SNW1,265
SNX1,266
SNX2,267
SNX4,268
SNX6,269
SOCS5,270
SOS2,271
SPRED1,272
STAMBPL1,273
STAT1,274
STAT3,275
STAT5A,276
STK11,277
SUMO1,278
SUMO2,279
SVIL,280
TAK1,281
TBK1,282
TBPIP,283
TCF12,284
TCF4,285
TCF8,286
TGFB1,287
TGFBR2,288
TIEG2,289
TIP1,290
TIP60,291
TNAP,292
TNIP1,293
TP53,294
TPL2,295
TRADD,296
TRAF1,297
TRAF2,298
TRAF6,299
TRAILR1,300
TRIP,301
TRUSS,302
UBC9,303
UBCH5B,304
UBCH5C,305
UBE2L3,306
UBE3A,307
USP9,308
VDR,309
VIM,310
WNK1,311
WNT5A,312
YES,313
ZIN,314
ZNF216,315
