col1,col2
14-3-3-zeta,0.022653721682847898
CDC25B,0.006472491909385114
CSNK1A1,0.016181229773462785
CTNNB1,0.10032362459546926
PIK3R1,0.02912621359223301
PRKCA,0.045307443365695796
RAF1,0.12297734627831716
RAN,0.0744336569579288
A20,0.003236245954692557
G3BP2,0.01941747572815534
ABIN2,0.01941747572815534
FLNA,0.016181229773462785
NFKB1,0.07766990291262137
REL,0.01941747572815534
RELA,0.11650485436893204
STK11,0.006472491909385114
TRAF2,0.06472491909385114
ABL1,0.08414239482200647
APP,0.03236245954692557
BCAR1,0.08737864077669903
CDC42,0.042071197411003236
CRKL,0.10355987055016182
FOS,0.08090614886731393
GRB2,0.1262135922330097
MYC,0.05177993527508091
NUP214,0.022653721682847898
PLCG1,0.03883495145631068
PLSCR1,0.003236245954692557
SHC1,0.04854368932038835
STAT5A,0.19093851132686085
TP53,0.08737864077669903
ADAM10,0.03236245954692557
CD44,0.03883495145631068
CDH1,0.00970873786407767
EGF,0.05177993527508091
EGFR,0.10679611650485438
NOTCH2,0.04854368932038835
PSEN1,0.05825242718446602
AIP4,0.01941747572815534
HGS,0.04854368932038835
MET,0.06148867313915858
NUMB,0.00970873786407767
SMAD3,0.15857605177993528
SMAD7,0.01941747572815534
ANAPC5,0.016181229773462785
SMAD2,0.1650485436893204
TGFB1,0.05177993527508091
ANKRD6,0.03236245954692557
DAAM1,0.012944983818770227
DVL2,0.01941747572815534
DVL3,0.022653721682847898
FZD1,0.006472491909385114
FZD4,0.00970873786407767
FZD5,0.003236245954692557
FZD6,0.00970873786407767
MAGI3,0.012944983818770227
WNT5A,0.012944983818770227
APC,0.05501618122977347
APH1A,0.03559870550161812
PLD1,0.016181229773462785
PSEN2,0.022653721682847898
TRAF6,0.06472491909385114
APH2,0.02912621359223301
ARA54,0.016181229773462785
NCOA3,0.04854368932038835
NCOR1,0.025889967637540454
SVIL,0.025889967637540454
UBE2L3,0.012944983818770227
ARA70,0.012944983818770227
NRAS,0.06796116504854369
ARA160,0.006472491909385114
SMARCA4,0.022653721682847898
ARAF1,0.00970873786407767
ARF4,0.00970873786407767
PLD2,0.02912621359223301
ATF3,0.003236245954692557
AXAM2,0.022653721682847898
KPNB1,0.045307443365695796
PML,0.012944983818770227
SUMO1,0.025889967637540454
SUMO2,0.016181229773462785
BAG1,0.006472491909385114
HSPA8,0.045307443365695796
CASP3,0.07766990291262137
CASP8,0.03559870550161812
CAV1,0.02912621359223301
CBLB,0.08414239482200647
EPOR,0.03883495145631068
EPS15,0.03559870550161812
GAB1,0.03883495145631068
GRB10,0.04854368932038835
IQGAP2,0.016181229773462785
PRKCI,0.05501618122977347
SNX2,0.006472491909385114
STAT1,0.1650485436893204
STAT3,0.1262135922330097
BPAG1,0.00970873786407767
HDAC6,0.022653721682847898
