Name,Betweenness,Degree,Closeness,EigenValueC,Khatz,ClusteringCoef,Label
4EBP1,0.0013567036642831,0.0114285714285714,0.319634703196347,0.0056449514819427,0.0053202670132813,0.0,0
AKT1,0.0205169714275687,0.0742857142857142,0.3954802259887006,0.0601761363963286,0.0381858161944387,0.089230769,1
CCND1,0.0125629565381965,0.0485714285714285,0.3867403314917127,0.0274066182096147,0.0170788540584026,0.102941176,1
MAPK14,0.0323674526776806,0.0742857142857142,0.4156769596199525,0.0532597036928827,-0.001147000523165,0.107692308,0
TFDP1,0.0001100951076962,0.0085714285714285,0.2829426030719482,0.0013879750700151,0.024018228108411,0.333333333,0
14-3-3-zeta,0.0044770624091067,0.02,0.354251012145749,0.0125129568615159,0.019909980320194,0.047619048,0
BAD,0.0024693833147951,0.0114285714285714,0.3231763619575254,0.008487973344089,-0.000910476557749,0.166666667,0
CSNK1A1,0.002034112840324,0.02,0.2948609941027801,0.0016006021505269,-0.0048501768759582,0.238095238,0
CTNNB1,0.0601979801978373,0.0971428571428571,0.43424317617866,0.0643790248732205,0.1579686777722088,0.092691622,1
KRT18,0.0130066820489043,0.0285714285714285,0.3653444676409186,0.0346930431895613,-0.0001195927239787,0.222222222,0
PRKCA,0.0266506328071136,0.0742857142857142,0.4084014002333722,0.0856424736673606,0.1099032598956818,0.178461538,0
RAN,0.0276692300704391,0.0714285714285714,0.4074505238649593,0.0602977302169602,-0.0761444767974287,0.15,0
ABIN2,0.0025727912109237,0.0257142857142857,0.3623188405797101,0.0179619796889054,-0.0023062403724221,0.222222222,0
FLNA,0.0020922348000499,0.0285714285714285,0.3623188405797101,0.031873001142767,0.0591742910873103,0.222222222,0
LYN,0.0335433431809388,0.1342857142857142,0.4278728606356968,0.1963108549179626,0.0446597379635698,0.273820537,0
NFKB1,0.012420090413354,0.06,0.3597122302158273,0.0144605375343162,0.0154569407855547,0.042857143,0
NFKB2,0.0069069187275492,0.0428571428571428,0.3597122302158273,0.018769874044067,-0.0067387125811008,0.20952381,0
RELA,0.047535643588821,0.1142857142857142,0.4430379746835443,0.1066450555154717,-0.0998090407798873,0.153846154,1
RIPK1,0.009986787195473,0.0628571428571428,0.3763440860215054,0.040449069350785,-0.0293800550824269,0.151515152,0
STK11,0.0002429599947361,0.0114285714285714,0.3062117235345581,0.0050381129724345,-0.0087962824750775,0.0,0
TAB2,0.0084606602601695,0.0314285714285714,0.3404669260700389,0.0086742514545901,-0.0058852726608172,0.163636364,0
TRAF2,0.0190743784411552,0.0657142857142857,0.3833515881708653,0.0303500337090373,0.033189217723927,0.079051383,0
ABL1,0.0237714612498455,0.1085714285714285,0.423728813559322,0.1722348755295405,0.0755590630804353,0.327169275,0
APP,0.004500531190664,0.0257142857142857,0.3458498023715415,0.0251493581972528,0.0198693599736593,0.166666667,0
CBL,0.0186174527886164,0.1085714285714285,0.424757281553398,0.1861301180207721,0.0435259820413549,0.40113798,0
CCNA2,0.0156715346862509,0.0571428571428571,0.3884572697003329,0.0259138802621236,0.2185723201636882,0.173684211,1
CDC42,0.005460465902974,0.0485714285714285,0.3787878787878788,0.0604237679375328,0.0588668203644206,0.242647059,1
CRK,0.0053705754111175,0.0657142857142857,0.3816793893129771,0.1228078213487141,0.0161021273951456,0.494071146,0
CRKL,0.0090048235947387,0.1,0.4206730769230769,0.1805800280015975,0.0114592858593614,0.431932773,0
FOS,0.0100128539162499,0.0714285714285714,0.4171632896305125,0.0816228852184874,-0.080991248815967,0.276666667,1
FYN,0.0703528946552003,0.18,0.4635761589403973,0.236288675551316,0.0360068764848475,0.208397337,0
GRB2,0.0163189113241511,0.1142857142857142,0.4142011834319526,0.1899913734003071,0.02290932411008,0.376923077,0
MYC,0.0180563156810744,0.0485714285714285,0.3638253638253638,0.0240285052684561,0.0199758931360445,0.080882353,0
SHC1,0.0020318194097933,0.0485714285714285,0.3812636165577342,0.1043483876634272,0.0273026302778356,0.625,0
