Name,Betweenness,Degree,Closeness,EigenValueC,Khatz,ClusteringCoef,Label
4EBP1,0.0010813366622373,0.0092592592592592,0.3308823529411764,0.0029812900612812,0.0287795864934724,0.0,0
AKT1,0.0162315352270118,0.0685185185185185,0.4179566563467492,0.0419308956473317,0.1453565935844632,0.0795795795795795,1
CCND1,0.0139076153307772,0.0555555555555555,0.4157043879907621,0.0311678931387861,-0.0213851344385764,0.135632183908046,1
EIF4E,0.003297651763436,0.0166666666666666,0.3302752293577982,0.0033522826420363,0.016082866996741,0.0277777777777777,1
MAPK14,0.0169936983423107,0.0648148148148148,0.4144282425172678,0.0326045932999114,0.0611816992571822,0.1025210084033613,1
TFDP1,4.455797798589459e-05,0.0055555555555555,0.2861685214626391,0.000642250639491,-0.0001741969485723,0.3333333333333333,0
14-3-3-zeta,0.0026972350391059,0.024074074074074,0.3739612188365651,0.0151485015562901,0.0641837246731078,0.1153846153846153,0
BAD,0.002945633842639,0.0222222222222222,0.3571428571428571,0.0129367573808125,0.1233292573852817,0.2575757575757575,0
CDC25A,0.0173064029385171,0.0722222222222222,0.4118993135011441,0.0519548065737003,0.0143754489323104,0.1997300944669365,1
CDC25B,0.0005409850504917,0.0129629629629629,0.3435114503816794,0.0111012399405184,0.0004898902337636,0.1904761904761904,0
CSNK1A1,0.0016016973890308,0.0166666666666666,0.3156049094097019,0.0020793122293826,0.0098605909950586,0.1388888888888889,0
CTNNB1,0.0324187391360868,0.0833333333333333,0.4383116883116883,0.053897357571386,-0.1763031042346077,0.1161616161616161,1
FOXO4,0.0022879985629436,0.0185185185185185,0.36,0.0103253912082402,-0.027686620662895,0.2222222222222222,0
KRT18,0.010555372880668,0.0277777777777777,0.3832505322924059,0.0264936590056575,0.0701423270863585,0.2761904761904762,1
MST1R,0.001470320693543,0.0574074074074074,0.3997039230199852,0.105743448769574,0.0152607160508656,0.6344086021505376,0
PIK3R1,0.0006881864610297,0.0185185185185185,0.3280680437424058,0.0077726734439277,0.0569915406853948,0.0444444444444444,1
PRKCA,0.011372935582959,0.0666666666666666,0.4112718964204113,0.0679850881253431,0.1184974482654903,0.1857142857142857,1
RAF1,0.02926679717849,0.1203703703703703,0.4448105436573311,0.1218310874250936,0.1825976584780858,0.1850961538461538,1
RAN,0.0173952735444664,0.0648148148148148,0.4186046511627907,0.0433442446650462,0.0221914634480213,0.1563025210084033,0
A20,0.0,0.0018518518518518,0.2439024390243902,7.896682570964782e-05,0.0111021036398422,0.0,0
G3BP2,0.004414030975853,0.0129629629629629,0.3223880597014925,0.0029056200455107,0.0242869999149356,0.0476190476190476,0
ABIN2,0.0013312201304204,0.0185185185185185,0.3602401601067378,0.0093114061667812,-0.0172317513676344,0.2222222222222222,0
FLNA,0.0006436151231946,0.0185185185185185,0.3638814016172507,0.022425450528459,-0.0240265564189733,0.3111111111111111,0
LYN,0.0197893594772126,0.1222222222222222,0.4354838709677419,0.16565694932948,-0.0494062685180358,0.3146853146853147,0
NFKB1,0.0119910593615124,0.0592592592592592,0.371900826446281,0.0097219101682118,-0.0273683586163734,0.0383064516129032,0
NFKB2,0.0098557451786484,0.0518518518518518,0.379746835443038,0.0135833734831606,-0.0476427485360685,0.1984126984126984,0
REL,0.0012689674384609,0.024074074074074,0.3417721518987341,0.0056412201414453,0.0268054676610213,0.2435897435897435,1
RELA,0.041944977337123,0.1074074074074074,0.4488778054862843,0.0666973375688904,0.1036192085739061,0.1258318209316394,1
RIPK1,0.0104315964874073,0.0666666666666666,0.3970588235294117,0.0265470130688892,-0.0975057822073962,0.1666666666666666,0
STK11,0.0001021917931956,0.0074074074074074,0.3117782909930716,0.0030215359853612,0.0114037680406493,0.0,1
TAB2,0.0069118451707497,0.0333333333333333,0.3614457831325301,0.0075215890138235,-0.0355721161941377,0.2352941176470588,0
TRAF2,0.0121258993743564,0.0611111111111111,0.3898916967509025,0.021801019435815,-0.1193581639444231,0.1231060606060606,0
