From	To
2	13
2	77
2	295
2	567
1	13
1	47
1	123
1	129
1	275
1	404
1	445
4	186
4	286
4	331
4	332
4	457
4	466
4	548
4	556
4	594
5	28
5	72
5	74
5	92
5	118
5	119
5	129
5	187
5	198
5	219
5	323
5	494
5	539
5	588
5	625
add1	5
add1	13
add1	122
add1	125
add1	236
add1	261
add1	286
add1	404
add1	548
11	40
11	234
11	266
11	286
11	310
11	350
11	507
12	66
12	77
12	323
13	74
13	198
13	404
13	408
13	544
13	546
15	128
15	223
15	330
15	398
15	482
17	18
17	19
17	75
17	83
17	94
17	204
17	416
17	418
17	419
17	420
17	422
17	607
18	19
18	75
18	83
18	94
18	204
18	416
18	418
18	419
18	420
18	422
18	607
19	505
19	507
19	570
22	457
22	468
22	606
26	28
26	129
26	343
26	344
27	26
27	28
27	129
27	343
27	344
28	119
28	198
29	227
29	228
29	451
33	182
33	329
33	330
33	371
33	445
33	606
33	607
33	608
34	118
34	119
34	122
34	187
34	198
34	212
34	329
34	359
34	427
34	430
34	431
34	445
34	463
34	507
34	539
34	574
35	182
35	238
35	329
35	445
36	238
36	404
36	405
37	389
38	40
38	70
38	212
38	404
38	405
40	147
40	198
40	234
41	74
41	75
41	83
41	330
48	223
48	323
48	482
48	511
48	512
48	513
48	514
48	515
49	241
53	79
53	366
54	129
54	187
54	229
58	26
58	BTRC
58	129
58	131
58	178
58	GSK3B
58	455
58	503
58	504
58	608
62	507
62	544
62	546
65	97
65	174
65	198
65	227
65	228
65	332
65	466
66	67
66	72
66	73
66	82
66	118
66	122
66	129
66	163
66	186
66	198
66	343
66	344
66	380
66	389
66	408
66	494
66	542
66	594
67	122
70	72
70	119
70	122
70	166
70	217
70	286
70	463
70	539
70	542
70	546
72	25
72	73
72	88
72	118
72	119
72	122
72	129
72	133
72	162
72	166
72	186
72	198
72	217
72	219
72	226
72	261
72	275
72	286
72	310
72	328
72	380
72	430
72	494
72	539
72	542
72	544
72	546
72	619
73	5
73	25
73	118
73	119
73	122
73	133
73	162
73	166
73	186
73	198
73	217
73	219
73	226
73	261
73	286
73	310
73	380
73	427
73	430
73	494
73	539
73	542
73	544
73	546
73	619
74	75
74	76
74	77
74	79
74	94
74	95
74	97
74	149
74	227
74	244
74	299
74	535
75	76
75	88
75	92
75	94
75	95
75	129
75	186
75	191
75	204
75	212
75	229
75	231
75	241
75	244
75	299
75	383
75	404
75	418
75	435
75	588
75	594
76	5
76	79
76	88
76	94
76	97
76	99
76	173
76	191
76	204
76	245
76	298
76	299
76	404
76	418
76	453
76	476
77	95
77	99
77	148
77	227
77	228
77	408
77	507
79	94
79	97
79	129
79	204
79	257
79	286
79	298
82	166
82	408
82	507
82	570
83	74
83	76
83	94
83	97
83	129
83	204
83	257
83	286
83	298
83	418
88	62
88	74
88	94
88	99
88	186
88	295
88	381
88	383
88	588
91	204
91	227
91	228
92	13
92	359
92	408
92	539
92	619
94	95
94	97
94	99
94	129
94	204
94	212
94	228
94	244
94	298
94	299
94	404
94	418
94	505
94	542
95	99
95	128
95	298
95	299
95	401
95	505
95	507
95	535
95	570
97	25
97	194
97	204
97	244
97	245
97	295
97	588
99	204
99	227
99	228
104	13
104	66
104	67
104	174
104	331
104	466
104	594
106	24
106	72
106	73
106	92
106	133
106	163
106	219
106	234
106	294
106	310
106	538
106	539
107	227
107	228
107	229
107	330
107	485
107	523
108	29
108	129
108	145
108	146
108	147
108	187
108	227
108	228
108	323
108	389
108	451
108	457
109	91
109	129
109	145
109	146
109	147
109	187
109	227
109	323
109	381
109	457
110	123
110	124
110	125
110	175
110	GSK3B
110	320
112	163
112	227
112	228
112	234
112	275
112	352
112	362
112	507
112	619
114	115
114	424
114	505
115	507
118	122
118	166
118	198
118	219
118	261
118	286
118	310
118	427
118	539
118	542
118	544
119	92
119	122
119	125
119	162
119	198
119	212
119	217
119	219
119	261
119	286
119	310
119	328
119	380
119	398
119	404
119	427
119	430
119	435
