From,Index
14-3-3-zeta,1
4EBP1,2
A20,3
ABIN2,4
ABL1,5
ACVRL1,6
ADAM10,7
ADAM17,8
ADD1,9
AES,10
AIP4,11
AKAP95,12
AKT1,13
AKT2,14
AML1,15
ANAPC1,16
ANAPC2,17
ANAPC4,18
ANAPC5,19
ANAPC7,20
ANKRD6,21
AO7,22
AP2A1,23
AP2B1,24
APC,25
APH1A,26
APH2,27
APP,28
APPL2,29
APS,30
AR,31
ARA160,32
ARA54,33
ARA55,34
ARA70,35
ARAF1,36
ARF4,37
ARNIP,38
ARRB1,39
ARRB2,40
ASE1,41
ATF1,42
ATF2,43
ATF3,44
AXAM2,45
AXIN1,46
BAD,47
BAF53A,48
BAG1,49
BCAR1,50
BCL3,51
BCL7A,52
BP75,53
BPAG1,54
BPAG2,55
BRCA1,56
BTK,57
BTRC2,58
CALR,59
CAMK2A,60
CAMK2B,61
CAMK2D,62
CAMK2G,63
CAPN3,64
CASP2,65
CASP3,66
CASP7,67
CASP8,68
CASP9,69
CAV1,70
CAV2,71
CBL,72
CBLB,73
CCNA2,74
CCNB1,75
CCNB2,76
CCND1,77
CCNE1,78
CCNH,79
CD151,80
CD30,81
CD44,82
CDC16,83
CDC2,84
CDC23,85
CDC25A,86
CDC25B,87
CDC25C,88
CDC27,89
CDC34,90
CDC37,91
CDC42,92
CDH1,93
CDK2,94
CDK4,95
CDK6,96
CDK7,97
CDK9,98
CDKN1A,99
CEACAM1,100
CEBPA,101
CEBPB,102
CHK,103
CIAP1,104
CIAP2,105
CIN85,106
CIR,107
CK2A1,108
CK2A2,109
CK2B,110
CLCA1,111
CLTC,112
CNTN1,113
COPS3,114
COPS5,115
CREB,116
CREBBP,117
CRK,118
CRKL,119
CRM1,120
CSF2RB,121
CSK,122
CSNK1A1,123
CSNK1D,124
CSNK1E,125
CTBP1,126
CTBP2,127
CTCF,128
CTNNB1,129
CTNND1,130
CUL1,131
DAAM1,132
DAB2,133
DAP,134
DAXX,135
DCP1A,136
DDEF1,137
DDX3,138
DKK1,139
DLL1,140
DNM,141
DOK1,142
DSP,143
DTX1,144
DVL1,145
DVL2,146
DVL3,147
DYRK1A,148
E2F4,149
E2F5,150
E3B1,151
EBP1,152
EF1A,153
EGF,154
EGFR,155
EIF3S2,156
EIF4E,157
ELK1,158
ELK3,159
ELK4,160
ENG,161
EPOR,162
EPS15,163
EPS15R,164
EPS8,165
ERBB2,166
ERK1,167
ERK2,168
ERK5,169
ERM,170
ERT,171
ESR1,172
ETS1,173
FADD,174
FAF1,175
FANCD2,176
FBL,177
FBXW7,178
FES,179
FGR,180
FHL1,181
FHL2,182
FKBP12,183
FKBP51,184
FLIP,185
FLNA,186
FOS,187
FOSB,188
FOXG1B,189
FOXH1,190
FOXO1A,191
FOXO3A,192
FOXO4,193
FRAP1,194
FRAT1,195
FRP2,196
FURIN,197
FYN,198
FZD1,199
FZD4,200
FZD5,201
FZD7,202
FZD9,203
FZR1,204
G3BP2,205
GAB1,206
GAB2,207
GAP,208
GAPDH,209
GAS1,210
GIPC,211
GIT1,212
GJA1,213
GLG1,214
GP130,215
GRAP,216
GRB10,217
GRB14,218
GRB2,219
GRB7,220
GRIM19,221
GTFII-I,222
HAT1,223
HBO1,224
HCK,225
HD,226
HDAC1,227
HDAC2,228
HDAC6,229
HERP1,230
HES1,231
HES5,232
HES6,233
HGS,234
HIP1,235
HIPK2,236
HIVEP3,237
HRAS,238
HSP90A,239
HSP90B,240
HSPA8,241
ICAT,242
ID1,243
ID2,244
ID3,245
ID4,246
IDAX,247
IHH,248
IKBA,249
IKBKAP,250
IKBKG,251
IKKB,252
IKKE,253
IQGAP2,254
ITGA6,255
ITGB4,256
ITGB4BP,257
ITRAF,258
JAG1,259
JAG2,260
JAK1,261
JAK2,262
JNK1,263
JNKK2,264
JUN,265
JUNB,266
JUND,267
JUP,268
KIT,269
KPNA2,270
KPNA3,271
KPNA6,272
KPNB1,273
KRT17,274
KRT18,275
KRT7,276
KRT8,277
KTN1,278
LAMR1,279
LCK,280
LEF1,281
LFNG,282
LIP1,283
LRP1,284
LRP6,285
LYN,286
MAGI3,287
MAIL,288
MAML1,289
MAML2,290
MAML3,291
MAP1B,292
MAP2K6,293
MAP3K4,294
MAPK14,295
MBP,296
MCC,297
MCM5,298
MCM7,299
MDM2,300
MEF2A,301
MEF2C,302
MEK1,303
MEK2,304
MEK3,305
MEK5,306
MEKK1,307
MEKK2,308
MEKK3,309
MET,310
MFNG,311
MIG6,312
MITF,313
MIZ1,314
MKP1,315
MMP7,316
MSK1,317
MST1R,318
MTA2,319
MTIF2,320
MUPP1,321
MYB,322
MYC,323
MYF6,324
MYOD1,325
MYOG,326
NCK,327
NCK2,328
NCOA3,329
NCOR1,330
NFKB1,331
NFKB2,332
NFYA,333
NFYB,334
NFYC,335
NGAP,336
NIK,337
NKD1,338
NKIRAS1,339
NKIRAS2,340
NLK,341
NOTCH1,342
NOTCH2,343
NOTCH3,344
NOTCH4,345
NR0B2,346
NR3C1,347
NRAS,348
NSMAF,349
NUMB,350
NUMBL,351
NUP153,352
NUP214,353
OTF1,354
OTF2,355
P204,356
P70S6K,357
PAF53,358
PAK1,359
PAK6,360
PAN2,361
PAPOLA,362
PARD3,363
PATZ,364
PAX5,365
PCAF,366
PDCD2,367
PEG3,368
PEN2,369
PFDN2,370
PIAS1,371
PIAS3,372
PIAS4,373
PIK3C2B,374
PIK3CA,375
PIK3CB,376
PIK3CD,377
PIK3CG,378
PIK3R1,379
PIK3R2,380
PIN1,381
PITPN,382
PKN1,383
PKN2,384
PLCE1,385
PLCG1,386
PLCG2,387
PLD1,388
PLD2,389
PLSCR1,390
PML,391
POFUT1,392
POLR1A,393
POLR1B,394
POLR1D,395
POLR2H,396
POLR2L,397
PPP2CA,398
PPP2R2A,399
PPP2R5B,400
PRKACA,401
PRKAR1A,402
PRKAR2A,403
PRKCA,404
PRKCB,405
PRKCD,406
PRKCG,407
PRKCI,408
PRKCL,409
PRKCM,410
PRKCZ,411
PRMT1,412
PSD95,413
PSEN1,414
PSEN2,415
PSMB5,416
PSMC1,417
PSMC2,418
PSMC3,419
PSMD1,420
PSMD12,421
PSMD13,422
PSMD3,423
PSMD4,424
PSMD7,425
PTEN,426
PTK2,427
PTK6,428
PTP-SL,429
PTPN12,430
PXN,431
PYK2,432
RAB23,433
RAB5,434
RAC1,435
RAC3,436
RACK1,437
RAD54L2,438
RAF1,439
RAI,440
RAIDD,441
RALB,442
RALBP1,443
RALGDS,444
RAN,445
RANBP9,446
RANK,447
RAP30,448
RAP74,449
RB,450
RBBP7,451
RBL1,452
RBL2,453
RBPSUH,454
RBX1,455
REL,456
RELA,457
RELB,458
REPS1,459
REPS2,460
REQ,461
RGS16,462
RHOA,463
RIP140,464
RIP2,465
RIPK1,466
RKIP,467
RNF4,468
