From	To
2	7
2	CCND1
2	156
2	TFDP1
1	7
1	29
1	CSNK1A1
1	76
1	148
1	PRKCA
1	222
4	FLNA
4	LYN
4	170
4	NFKB2
4	230
4	RIPK1
4	STK11
4	274
4	TRAF2
ABL1	17
ABL1	CBL
ABL1	44
ABL1	52
ABL1	67
ABL1	68
ABL1	76
ABL1	106
ABL1	110
ABL1	117
ABL1	166
ABL1	247
ABL1	SRC
ABL1	282
ABL1	YAP1
add1	ABL1
add1	7
add1	70
add1	72
add1	HIPK2
add1	140
add1	LYN
add1	PRKCA
add1	STK11
6	ARRB2
6	HGS
6	142
6	LYN
6	MET
6	180
6	SMAD3
AKAP95	39
AKAP95	CCND1
AKAP95	166
7	44
7	110
7	PRKCA
7	201
7	270
7	STAT5B
9	75
9	120
9	169
9	199
9	RUVBL1
ANAPC2	ANAPC4
ANAPC2	11
ANAPC2	45
ANAPC2	48
ANAPC2	54
ANAPC2	FZR1
ANAPC2	203
ANAPC2	205
ANAPC2	206
ANAPC2	207
ANAPC2	209
ANAPC2	291
ANAPC4	11
ANAPC4	45
ANAPC4	48
ANAPC4	54
ANAPC4	FZR1
ANAPC4	203
ANAPC4	205
ANAPC4	206
ANAPC4	207
ANAPC4	209
ANAPC4	291
11	SMAD1
11	SMAD3
11	TGFB1
AO7	230
AO7	236
AO7	290
15	17
15	76
15	175
15	176
16	15
16	17
16	76
16	175
16	176
17	68
17	110
18	HDAC1
18	122
18	226
20	FHL2
20	NCOA3
20	169
20	189
20	222
20	290
20	291
20	292
21	67
21	68
21	70
21	106
21	110
21	GIT1
21	NCOA3
21	PAK1
21	211
21	212
21	213
21	222
21	234
21	SMAD3
21	SRC
21	278
22	FHL2
22	HRAS
22	NCOA3
22	222
23	HRAS
23	PRKCA
23	PRKCB
24	PLD2
25	ARRB2
25	42
25	GIT1
25	PRKCA
25	PRKCB
ARRB2	DVL3
ARRB2	110
ARRB2	HGS
ASE1	44
ASE1	45
ASE1	48
ASE1	169
BAF53A	120
BAF53A	166
BAF53A	RUVBL1
BAF53A	255
BAF53A	256
BAF53A	257
BAF53A	258
BAF53A	SMARCE1
30	128
31	46
31	PCAF
32	76
32	106
32	123
35	15
35	34
35	76
35	78
35	102
35	119
35	229
35	251
35	252
35	292
37	SMAD3
37	270
37	STAT5B
CASP2	56
CASP2	FADD
CASP2	110
CASP2	HDAC1
CASP2	122
CASP2	NFKB2
CASP2	RIPK1
39	40
39	CBL
39	43
39	47
39	67
39	70
39	76
39	EPS15
39	FLNA
39	110
39	175
39	176
39	191
39	PLD2
39	201
39	247
39	269
39	TRAF2
40	70
42	CBL
42	68
42	70
42	ERBB2
42	GRB10
42	LYN
42	234
42	SRC
42	269
42	STAT5B
CBL	14
CBL	43
CBL	CDC25C
CBL	67
CBL	68
CBL	70
CBL	76
CBL	81
CBL	EPOR
CBL	ERBB2
CBL	FLNA
CBL	110
CBL	GRB10
CBL	117
CBL	HD
CBL	140
CBL	148
CBL	LYN
CBL	MET
CBL	NCK2
CBL	191
CBL	212
CBL	247
CBL	SRC
CBL	269
CBL	270
CBL	STAT5B
CBL	298
43	ABL1
43	14
43	67
43	68
43	70
43	81
43	EPOR
43	ERBB2
43	FLNA
43	110
43	GRB10
43	117
43	HD
43	140
43	LYN
43	MET
43	191
43	211
43	212
43	247
43	SRC
43	269
43	270
43	STAT5B
43	298
44	45
44	CCNB2
44	CCND1
44	46
44	54
44	CDK4
44	56
44	87
44	HDAC1
44	130
44	159
44	267
45	CCNB2
45	CDC25C
45	52
45	54
45	CDK4
45	76
45	FLNA
45	108
45	FZR1
45	GIT1
45	123
45	124
45	128
45	130
45	159
45	PKN1
45	PRKCA
45	205
45	217
45	282
45	TRAF2
CCNB2	ABL1
CCNB2	46
CCNB2	CDC25C
CCNB2	54
CCNB2	56
CCNB2	58
CCNB2	99
CCNB2	108
CCNB2	FZR1
CCNB2	131
CCNB2	158
CCNB2	159
CCNB2	PRKCA
CCNB2	205
CCNB2	227
CCNB2	242
CCND1	CDK4
CCND1	58
CCND1	DYRK1A
CCND1	HDAC1
CCND1	122
CCND1	201
CCND1	SMAD3
46	54
46	56
46	76
46	FZR1
46	137
46	LYN
46	158
47	ERBB2
47	201
47	SMAD3
47	TGFB1
48	44
48	CCNB2
48	54
48	56
48	76
48	FZR1
48	137
48	LYN
48	158
48	205
CDC25C	37
CDC25C	44
CDC25C	54
CDC25C	58
CDC25C	FLNA
CDC25C	156
CDC25C	PIN1
CDC25C	PKN1
CDC25C	282
CDC37	FZR1
CDC37	HDAC1
CDC37	122
52	7
52	PAK1
52	201
52	SRC
52	298
54	CDK4
54	56
54	58
54	76
54	FZR1
54	GIT1
54	122
54	130
54	158
54	159
54	PRKCA
54	205
54	SMAD1
54	269
CDK4	58
CDK4	75
CDK4	158
CDK4	159
CDK4	PRKACA
CDK4	SMAD1
CDK4	SMAD3
CDK4	267
CDK4	TGFB1
56	14
56	109
56	FZR1
56	130
56	131
56	156
56	282
58	FZR1
58	HDAC1
58	122
60	7
60	39
60	40
60	FADD
60	170
60	RIPK1
60	TRAF2
61	13
61	CBL
61	43
61	52
61	81
61	EPS15
61	117
61	HGS
61	MAP3K4
61	MET
61	SPRY2
61	SRC
62	HDAC1
62	122
62	123
62	169
62	245
62	261
CK2A1	18
CK2A1	76
CK2A1	DVL1
CK2A1	DVL2
CK2A1	DVL3
CK2A1	106
CK2A1	HDAC1
CK2A1	122
CK2A1	166
CK2A1	PLD2
CK2A1	226
CK2A1	230
CK2A2	CDC37
CK2A2	76
CK2A2	DVL1
CK2A2	DVL2
CK2A2	DVL3
CK2A2	106
CK2A2	HDAC1
CK2A2	166
CK2A2	PIN1
CK2A2	230
63	CSNK1A1
63	71
63	72
63	FAF1
63	119
63	164
64	EPS15
64	HDAC1
64	122
64	HGS
64	148
64	181
64	185
64	SMAD3
64	298
COPS3	COPS5
COPS3	PSMD4
COPS3	SMAD1
COPS5	SMAD3
67	70
67	ERBB2
67	110
67	117
67	140
67	LYN
67	MET
67	211
67	SRC
67	269
67	270
68	52
68	70
68	72
68	EPOR
68	110
68	GIT1
68	GRB10
68	117
68	140
68	LYN
68	MET
68	NCK2
68	191
68	199
68	PRKCA
68	211
68	212
68	217
68	SMAD3
68	266
68	SRC
68	269
68	STAT2
68	270
68	STAT5B
68	TRAF2
68	298
69	14
69	45
69	67
69	76
69	HDAC1
69	170
69	181
69	222
69	230
69	269
69	282
70	ABL1
70	73
70	81
70	EPOR
70	110
70	GRB10
70	117
70	HD
70	140
70	144
70	LYN
70	MET
70	NCK2
70	PIK3CD
70	191
70	PLD2
70	200
70	PRKCA
70	211
70	247
70	SMAD1
70	SMAD3
70	SRC
70	269
70	STAT2
70	270
70	STAT5B
71	CSNK1A1
71	DVL2
71	DVL3
71	134
72	14
72	EPS15
72	110
72	134
72	STAT5B
73	82
73	99
73	HD
73	HDAC1
73	NCOA3
73	PIK3CD
73	230
73	268
73	269
73	STAT2
74	HDAC1
74	122
75	267
76	14
76	110
76	HDAC1
76	122
76	175
76	SMAD1
76	SMAD3
78	34
78	54
78	58
78	COPS5
78	76
78	102
78	FZR1
78	170
78	210
78	229
78	251
78	252
78	SMAD3
81	110
81	LYN
81	191
81	SMAD1
81	SMAD3
81	269
81	TGFB1
81	298
DAP	FADD
DAP	PML
82	FADD
82	HDAC1
82	144
82	RIPK1
82	SMAD3
82	267
82	269
84	24
84	CBL
84	43
84	67
84	117
84	211
84	213
84	SRC
85	44
85	113
85	119
85	267
DVL1	14
DVL1	ARRB2
DVL1	72
DVL1	76
DVL1	77
DVL1	DVL2
DVL1	DVL3
DVL1	FZD1
DVL1	FZD4
DVL1	FZD5
DVL1	111
DVL1	112
DVL1	119
DVL1	175
DVL1	217
DVL1	WNT5A
DVL2	CSNK1A1
DVL2	DVL3
DVL3	CSNK1A1
DVL3	SMAD3
DYRK1A	HGS
DYRK1A	SMAD1
DYRK1A	SMAD3
DYRK1A	TGFB1
E2F5	44
E2F5	87
E2F5	255
E2F5	STAT2
E2F5	282
88	ABL1
88	7
88	52
88	67
88	96
88	LYN
88	166
88	217
88	SRC
88	298
89	ERBB2
89	122
89	145
89	PAK1
89	PRKCA
89	238
89	239
89	241
90	29
90	293
92	199
92	207
92	255
95	47
95	SMAD1
95	267
95	TGFB1
95	TGFB3
95	278
EPOR	ABL1
EPOR	110
EPOR	117
EPOR	140
EPOR	LYN
EPOR	191
EPOR	SRC
EPOR	269
EPOR	270
EPOR	STAT5B
EPOR	298
EPS15	ERBB2
EPS15	117
EPS15	HGS
EPS15	241
ERBB2	ABL1
ERBB2	14
ERBB2	110
ERBB2	GRB10
ERBB2	117
ERBB2	HGS
ERBB2	148
ERBB2	150
ERBB2	LYN
ERBB2	MET
ERBB2	NCK2
ERBB2	191
ERBB2	PLD2
ERBB2	PRKCA
ERBB2	211
ERBB2	RIPK1
ERBB2	247
ERBB2	SRC
ERBB2	269
ERBB2	270
ERBB2	STAT5B
ERBB2	298
ERK1	7
ERK1	ARRB2
ERK1	29
ERK1	CBL
ERK1	47
ERK1	54
ERK1	CDK4
ERK1	COPS3
ERK1	68
ERK1	70
ERK1	76
ERK1	DYRK1A
ERK1	EPOR
ERK1	99
ERK1	106
ERK1	110
ERK1	GRB10
ERK1	HDAC1
ERK1	HGS
ERK1	128
ERK1	130
ERK1	140
ERK1	142
ERK1	148
ERK1	LYN
ERK1	NCK2
ERK1	NCOA3
ERK1	181
ERK1	PCAF
ERK1	191
ERK1	199
ERK1	PRKACA
ERK1	PRKCA
ERK1	201
ERK1	222
ERK1	227
ERK1	230
ERK1	RIPK1
ERK1	SF1
ERK1	247
ERK1	SMAD3
ERK1	255
ERK1	267
ERK1	SRC
ERK1	269
ERK1	270
ERK1	STAT5B
ERK1	282
ERK1	VDR
ERK1	298
97	7
97	CBL
97	43
97	54
97	68
97	EPOR
97	110
97	117
97	HDAC1
97	140
97	142
97	201
97	PSMD4
97	SMAD1
97	SMAD3
97	269
97	STAT2
97	270
