col1,col2
4EBP1,0.0006311355972044916
AKT1,0.023686418046356204
EIF4E,0.0058165973918918685
MAPK14,0.028549025967752533
14-3-3-zeta,0.005234887859922184
BAD,0.003116022098593716
CTNNB1,0.04848312042231791
KRT18,0.027616325468123912
PIK3R1,0.0026097325313455483
RAN,0.034450830548183556
A20,0.0
G3BP2,0.008857220898206819
ABIN2,0.0004157086150361179
NFKB1,0.033881314027175626
RELA,0.06254961120432409
TAB2,0.012646083122284461
ADD1,0.0010179570967272305
BTK,0.012112568834895553
CSK,0.020802472162975726
CSNK1E,0.01407281102295108
JAK1,0.01247603550080129
JAK2,0.05833103066724934
PKN2,0.0010932886650784953
AIP4,0.009774294296787871
ARRB1,9.021795472984364e-05
EGFR,0.023413197297864036
JUNB,0.014043450578684342
NUMB,0.0002662473496198748
CCNA2,0.011588606977461125
CDC23,0.018709053912018086
FYN,0.11294530438860274
NRAS,0.03551939705229722
PRKCI,0.0079805928824622
PSEN1,0.011605305874288608
STAT3,0.037298849562657464
AML1,0.006837496174295237
CTCF,0.0005917916942818799
HAT1,0.00043163027222303346
NCOR1,0.00991621997362789
PPP2CA,0.0169117756543385
TBP,0.019140923541272233
ANAPC5,0.0029912921777566974
SMAD2,0.08108721036576616
AP2,0.0
APC,0.037455683921591314
CDH1,0.0005355595972405851
APH1A,0.0022325117944432217
APP,0.005202803330184787
NOTCH2,0.0021916166451693914
NOTCH3,0.0009173180121855081
PLD1,0.0001816912810560762
APH2,0.0011044785673857244
CRKL,0.018197754851906653
APPL2,0.007292696251878859
AKT2,8.735432157359069e-05
HDAC2,0.04244803692742634
HNF4A,0.0007540958099590494
RBBP7,0.001918554076394241
ARA54,0.00971851433336526
PIAS1,0.007054853709669711
SVIL,0.0034475935610072147
UBE2D1,8.652351702018486e-05
UBE2E1,0.0012046907696552733
UBE2L3,0.001976547332521831
ARA55,0.012070630460446288
CRK,0.007239033006607011
FOS,0.022770159384772518
NCOA2,0.0021499078073184633
PTK2,0.002398210923454104
PTPN12,0.0017981631309142829
PXN,0.0003415974011482071
RHOA,0.0008924991948365583
TGFBR2,0.005354282205933605
TRAF4,0.0
ARA70,0.0008993875899112385
ARA160,0.00034750684099437985
SMARCA4,0.005524167302072573
ARAF1,0.0001553957095062296
ARNIP,0.0006454998405907468
CAV1,0.007899603478698282
ATF1,0.009267591449208521
CAPN3,0.0009453856177370319
CTBP1,0.0022421900659617944
KPNA2,0.006809387501962368
STAT1,0.05702859567563037
TCF3,0.01985593522747754
YY1,0.001703907661183739
ATF3,0.0
FOSB,0.0003164914803803915
BAG1,0.0001876204001357
HSPA8,0.017200123740619307
BP75,0.00021851750456516924
CCNH,0.01196488548126044
BPAG1,0.0009097958581625607
HDAC6,0.011916840049148898
CASP3,0.019129992019563485
CASP7,0.007061402578794899
CASP9,0.00902342028455067
CBLB,0.008724501754062372
CDC2,0.002715234866901343
CDK2,0.025607230376139007
CDK7,0.012924194587703084
GRB2,0.017324724399156412
HES1,0.008088712610497298
PIK3R2,0.003097755161512614
SHC1,0.009092956946692066
SOCS3,0.0047219641118653715
SOCS5,0.0
BTRC2,0.010719961431654504
BTRC,0.00019230963686710107
CUL1,0.0158653395795174
FBXW7,0.0016355182552602284
GLI2,0.00011062270119751701
GSK3B,0.007412709734900152
RBX1,0.0003317167659752269
SKP1,0.014574237636877449
SKP2,0.0003725445745875715
CAMK2D,0.00014318143270909412
CREBBP,0.13451377434714207
RPL8,0.026906249138197516
CD44,0.0012694182209208097
IQGAP2,0.0004034289948807742
PSMD12,0.007570535933476085
DAB2,0.0011371269708470336
WASL,0.006818377123515718
CCNB1,0.014007719812166699
E2F4,0.00028702544275915995
ID2,0.001666643532937123
MCM7,0.0022093276367825647
SP1,0.02909780535967272
CDC42,0.011815238105826034
FOXO1A,0.003943461146386131
PSMC2,0.016369946792758466
RAC1,0.005252071721977457
TP53,0.03763142515610675
ITGB4BP,0.0177123674959268
MCM5,0.0015547485785833545
CDC16,0.013918413584488552
ANAPC10,0.0
CDC27,0.0
PARD3,0.0
VIM,0.004394077301591863
CDKN1A,0.0009314794981143429
CDK6,0.0
FRAP1,0.0
ID3,0.0006941044217587571
CEACAM1,3.4900500016779093e-06
CIAP1,0.007794687079062187
CYLD,0.0
CIN85,0.0037652423311380196
AP2B1,0.00016276234747116287
CIR,0.0051348786243105874
SAP18,0.00023623317585629844
SNW1,0.014415359895305582
CK2B,0.0027726513118983822
CSNK1D,0.00022483835984500827
MTIF2,0.000566232313466052
CLTC,0.008451546073783534
NUP153,0.00438384886971097
PAPOLA,0.006704899317084909
CREB,2.904804067594765e-05
JUND,0.004415250264249331
ETS1,0.004673176954157081
MYC,0.021108511143534056
SMAD4,0.002661377870505616
SNIP1,0.0
CRM1,0.004599354771488254
NUP214,0.0012294016194041796
PRKAR1A,0.00013369810845338128
DCP1A,0.004148161554011251
IKBKAP,0.0007123644438731754
DAXX,0.000529243913749815
SPEN,0.001670951895152301
CTBP2,0.0010443184660767289
LEF1,0.0021612803533992983
PSMD7,0.001035824811412091
DAAM1,0.016606916916319877
ARF4,0.0003982412321282753
SIN3A,0.005226951916342141
DDEF1,0.005633526082885858
REPS2,0.00015967947226514965
DDX3,0.0015392802042725386
DSP,0.0007422769651950464
