col1,col2
4EBP1,0.0
AKT1,0.07957957957957958
CCND1,0.135632183908046
EIF4E,0.027777777777777776
MAPK14,0.10252100840336134
TFDP1,0.3333333333333333
14-3-3-zeta,0.11538461538461539
BAD,0.25757575757575757
CDC25A,0.19973009446693657
CDC25B,0.19047619047619047
CSNK1A1,0.1388888888888889
CTNNB1,0.11616161616161616
FOXO4,0.2222222222222222
KRT18,0.2761904761904762
MST1R,0.6344086021505376
PIK3R1,0.044444444444444446
PRKCA,0.18571428571428572
RAF1,0.18509615384615385
RAN,0.15630252100840336
A20,0.0
G3BP2,0.047619047619047616
ABIN2,0.2222222222222222
FLNA,0.3111111111111111
LYN,0.3146853146853147
NFKB1,0.038306451612903226
NFKB2,0.1984126984126984
REL,0.24358974358974358
RELA,0.12583182093163944
RIPK1,0.16666666666666666
STK11,0.0
TAB2,0.23529411764705882
TRAF2,0.12310606060606061
ABL1,0.3474025974025974
APP,0.14102564102564102
BCAR1,0.3884057971014493
CBL,0.3456221198156682
CCNA2,0.18666666666666668
CDC42,0.16
CRK,0.45045045045045046
CRKL,0.37402597402597404
DOK1,0.6666666666666666
FOS,0.18840579710144928
FYN,0.2081903454587051
GRB2,0.3216346153846154
MDM2,0.12121212121212122
MYC,0.09486166007905138
NUP214,0.4
PLCG1,0.48148148148148145
PLSCR1,1.0
SHC1,0.5517241379310345
STAT5A,0.20783564261825133
TP53,0.16807610993657504
ADAM10,0.20915032679738563
ADAM17,0.21818181818181817
CD44,0.29411764705882354
CDH1,0.1
DLL4,0.39285714285714285
EGF,0.16
EGFR,0.2951923076923077
FHL2,0.1523809523809524
FURIN,1.0
JAG1,0.4722222222222222
JAG2,0.3939393939393939
NOTCH1,0.12554112554112554
NOTCH2,0.22943722943722944
NOTCH3,0.3076923076923077
PSEN1,0.15632183908045977
ERBB2,0.30995475113122173
ADD1,0.25833333333333336
BTK,0.4006734006734007
CSK,0.3639344262295082
CSNK1E,0.15151515151515152
FGR,0.40875420875420876
HIPK2,0.2222222222222222
JAK1,0.494949494949495
LCK,0.5
PKN2,0.2222222222222222
PRKCZ,0.25
TBK1,0.19047619047619047
AES,0.16363636363636364
AR,0.12141779788838612
CTBP1,0.30526315789473685
HDAC1,0.14951923076923077
LEF1,0.2909090909090909
PRMT1,0.0
TLE1,0.0
AIP4,0.16666666666666666
ARRB1,0.1
ARRB2,0.07692307692307693
HGS,0.14333333333333334
JUNB,0.2727272727272727
KIT,0.3694915254237288
MET,0.5371794871794872
NUMB,0.0
SMAD3,0.11921458625525946
SMAD7,0.20512820512820512
AKAP95,0.0
CASP3,0.198989898989899
PRKAR2A,0.05128205128205128
CDC23,0.229064039408867
NRAS,0.1361344537815126
PRKCI,0.21846153846153846
STAT3,0.29759615384615384
AML1,0.13333333333333333
CTCF,0.3333333333333333
HAT1,0.0
NCOR1,0.09166666666666666
PPP2CA,0.3238095238095238
RUVBL1,0.2
TBP,0.08333333333333333
ANAPC1,0.8333333333333334
ANAPC10,0.8333333333333334
ANAPC2,0.2807017543859649
ANAPC4,0.3137254901960784
ANAPC5,0.32142857142857145
ANAPC7,1.0
CCNB1,0.11428571428571428
CDC16,0.23684210526315788
CDC27,0.6
CDK2,0.20092915214866433
FZR1,0.3333333333333333
PSMB5,0.8
PSMC2,0.3391812865497076
PSMC3,0.5818181818181818
PSMD1,0.5454545454545454
PSMD12,0.30952380952380953
PSMD13,0.6363636363636364
UBE2E1,0.06666666666666667
SMAD1,0.15164220824598182
SMAD2,0.13107511045655376
TGFB1,0.30333333333333334
AO7,0.16666666666666666
CDC34,0.21428571428571427
RNF4,0.0
UBE2D1,0.0
APC,0.12688172043010754
APH1A,0.3516483516483517
PLD1,0.14285714285714285
PSEN2,0.3076923076923077
APH2,0.41818181818181815
APPL2,0.2222222222222222
AKT2,0.0
HDAC2,0.16923076923076924
MTA2,0.4642857142857143
PIK3CB,0.3333333333333333
RBBP7,0.3
APS,0.6109756097560975
CAMK2G,0.3333333333333333
CAV1,0.5163398692810458
CBLB,0.5101449275362319
GRAP,0.4576923076923077
GRB10,0.6221322537112011
GRB7,0.7578947368421053
ITGB4,0.7424242424242424
NCK2,0.5602564102564103
PIK3R2,0.5676767676767677
PTK2,0.653781512605042
PTK6,0.6906906906906907
SNCA,0.35968379446640314
SOCS3,0.655241935483871
STAT1,0.2243191591017678
STAT2,0.5246305418719212
TEC,0.42138364779874216
WASL,0.3169082125603865
BAG1,0.16666666666666666
BRCA1,0.21923076923076923
NCOA2,0.13333333333333333
NCOA3,0.2318840579710145
SP1,0.1949579831932773
UXT,0.0
ARA54,0.09090909090909091
ESR1,0.2222222222222222
PIAS1,0.18333333333333332
SPDEF,0.0
SVIL,0.16666666666666666
UBE2L3,0.0
ARA55,0.14285714285714285
GIT1,0.16666666666666666
PAK1,0.15789473684210525
PTPN12,0.575
PXN,0.1
RHOA,0.175
TGFBR2,0.38095238095238093
TRAF4,0.0
ARA70,0.13333333333333333
HRAS,0.12727272727272726
ARA160,0.13333333333333333
SMARCA4,0.10476190476190476
ARAF1,0.2
PRKCB,0.15833333333333333
PRKCD,0.09523809523809523
ARF4,0.0
PLD2,0.23529411764705882
ARNIP,0.027777777777777776
DVL3,0.16666666666666666
ASE1,0.2
ATF1,0.2875816993464052
CAPN3,0.0
KPNA2,0.2963709677419355
TCF3,0.2564102564102564
YY1,0.2857142857142857
ATF3,0.3333333333333333
FOSB,0.6
AXAM2,0.16666666666666666
AXIN1,0.16666666666666666
DVL1,0.08333333333333333
KPNB1,0.20915032679738563
NUP153,0.2
PML,0.2
SUMO1,0.08791208791208792
SUMO2,0.13333333333333333
JUP,0.1871345029239766
TGFBR1,0.1997677119628339
BAF53A,0.2222222222222222
SMARCB1,0.23076923076923078
SMARCC1,0.125
SMARCC2,0.32142857142857145
SMARCE1,0.3333333333333333
HSPA8,0.17753623188405798
CASP8,0.3380952380952381
CDC2,0.3626373626373626
SNX2,0.16666666666666666
BCL3,0.4642857142857143
RELB,0.2222222222222222
BCL7A,0.0
PDCD2,0.0
BP75,0.0
CCNH,0.16993464052287582
PCAF,0.2679738562091503
BPAG1,0.0
HDAC6,0.05555555555555555
CCNB2,0.23692307692307693
CDC25C,0.22380952380952382
CDK4,0.2826086956521739
POLR2H,0.17857142857142858
RBL1,0.3761904761904762
CASP7,0.3333333333333333
CASP9,0.34285714285714286
CDK7,0.2046783625730994
HES1,0.22943722943722944
SOCS5,0.9285714285714286
VAV2,0.8
BTRC,0.19444444444444445
SMAD6,0.047619047619047616
BTRC2,0.2
