From	To
2	7
2	47
2	175
2	319
1	7
1	28
1	72
1	78
1	167
1	226
1	249
3	114
3	171
3	190
3	191
3	258
3	262
3	311
3	316
3	329
4	17
4	42
4	44
4	53
4	68
4	69
4	78
4	115
4	118
4	133
4	186
4	281
4	305
4	328
4	345
351	4
351	7
351	71
351	74
351	145
351	159
351	171
351	226
351	311
5	25
5	143
5	161
5	171
5	181
5	200
5	287
6	38
6	47
6	186
7	44
7	118
7	226
7	228
7	309
7	310
8	77
8	136
8	189
8	223
8	273
9	10
9	11
9	45
9	50
9	54
9	124
9	230
9	231
9	232
9	233
9	234
9	335
10	11
10	45
10	50
10	54
10	124
10	230
10	231
10	232
10	233
10	234
10	335
11	286
11	287
11	321
12	258
12	264
12	334
15	17
15	78
15	196
15	197
16	15
16	17
16	78
16	196
16	197
17	69
17	118
18	139
18	140
18	254
19	111
19	188
19	189
19	209
19	249
19	334
19	335
19	336
20	68
20	69
20	71
20	115
20	118
20	129
20	188
20	204
20	238
20	239
20	240
20	249
20	260
20	287
20	305
20	323
21	111
21	146
21	188
21	249
22	146
22	226
22	227
23	217
24	25
24	40
24	129
24	226
24	227
25	88
25	118
25	143
26	44
26	45
26	50
26	189
29	136
29	186
29	273
29	288
29	289
29	290
29	291
29	292
30	149
31	48
31	206
32	78
32	115
32	141
34	15
34	33
34	78
34	80
34	109
34	135
34	257
34	284
34	285
34	336
36	287
36	309
36	310
37	56
37	105
37	118
37	139
37	140
37	191
37	262
38	39
38	42
38	43
38	49
38	68
38	71
38	78
38	98
38	114
38	118
38	196
38	197
38	213
38	217
38	228
38	281
38	307
38	329
39	71
40	42
40	69
40	71
40	100
40	132
40	171
40	260
40	305
40	307
40	310
42	14
42	43
42	51
42	68
42	69
42	71
42	78
42	81
42	97
42	100
42	114
42	118
42	132
42	133
42	138
42	159
42	167
42	171
42	181
42	187
42	213
42	239
42	281
42	305
42	307
42	309
42	310
42	342
43	4
43	14
43	68
43	69
43	71
43	81
43	97
43	100
43	114
43	118
43	132
43	133
43	138
43	159
43	171
43	181
43	213
43	238
43	239
43	281
43	305
43	307
43	309
43	310
43	342
44	45
44	46
44	47
44	48
44	54
44	55
44	56
44	90
44	139
44	151
44	177
44	302
45	46
45	51
45	53
45	54
45	55
45	78
45	114
45	116
45	124
45	129
45	141
45	142
45	149
45	151
45	177
45	216
45	226
45	231
45	243
45	328
45	329
46	4
46	48
46	51
46	54
46	56
46	58
46	104
46	116
46	124
46	152
46	176
46	177
46	226
46	231
46	255
46	270
47	55
47	58
47	89
47	139
47	140
47	228
47	287
48	54
48	56
48	78
48	124
48	158
48	171
48	176
49	100
49	228
49	287
49	321
50	44
50	46
50	54
50	56
50	78
50	124
50	158
50	171
50	176
50	231
51	36
51	44
51	54
51	58
51	114
51	175
51	214
51	216
51	328
52	124
52	139
52	140
53	7
53	204
53	228
53	305
53	342
54	55
54	56
54	58
54	78
54	124
54	129
54	140
54	151
54	176
