col1,col2
4EBP1,0.0
AKT1,0.10256410256410256
CCND1,0.1794871794871795
14-3-3-zeta,0.0
CSNK1A1,0.09523809523809523
CTNNB1,0.06666666666666667
PIK3R1,0.16666666666666666
RAN,0.15263157894736842
ABL1,0.24561403508771928
CDC42,0.26666666666666666
CRK,0.4727272727272727
FOS,0.3157894736842105
FYN,0.15647226173541964
GRB2,0.2727272727272727
JUN,0.2857142857142857
NUP214,0.5333333333333333
SHC1,0.5
add1,0.3333333333333333
CSK,0.23646723646723647
AES,0.3333333333333333
CTBP1,0.2222222222222222
HDAC1,0.14022988505747128
PRMT1,0.0
RELA,0.15873015873015872
CDC23,0.14285714285714285
STAT3,0.3079710144927536
STAT5B,0.2678062678062678
AML1,1.0
NCOR1,0.09523809523809523
TBP,0.08333333333333333
ANAPC5,0.16666666666666666
SMAD3,0.13333333333333333
TGFB1,0.21794871794871795
ARA54,0.0
UBE2D1,0.0
UBE2E1,0.0
UBE2L3,0.0
ARA55,0.1794871794871795
GIT1,0.1
PTK2,0.7090909090909091
PTPN12,0.26666666666666666
RHOA,0.2
SMAD7,0.6666666666666666
TGFBR2,0.47619047619047616
TRAF4,0.0
ARA70,0.0
ARRB1,0.0
HGS,0.13333333333333333
ARRB2,0.2
BPAG1,0.0
HDAC6,0.06666666666666667
BRCA1,0.3416666666666667
CCNB1,0.038461538461538464
CCNH,0.0
CDK4,0.2727272727272727
JUNB,0.5777777777777777
MTA2,0.6666666666666666
CAMK2D,0.6666666666666666
CASP3,0.17582417582417584
CASP7,0.3333333333333333
FLNA,0.16666666666666666
JUP,0.14285714285714285
NOTCH3,0.16666666666666666
SNCA,0.32142857142857145
VAV1,0.27705627705627706
CAV1,0.6666666666666666
FOXO1A,0.3
HSPA8,0.16666666666666666
ID2,0.0
PKN1,0.3333333333333333
CDKN1A,0.6666666666666666
TGFBR1,0.24836601307189543
ITGB4BP,0.06666666666666667
MCM5,0.0
VIM,0.0
CDC37,0.3333333333333333
TNK2,0.32142857142857145
PRKACA,0.26666666666666666
CHK,0.4
CSNK1D,0.6666666666666666
CIAP2,0.16666666666666666
NFKB1,0.0
CIN85,0.14285714285714285
AP2B1,0.0
DAB2,0.4
MAP3K4,0.06666666666666667
CIR,0.14285714285714285
SAP18,0.0
SAP30,0.0
SNW1,0.2
CK2B,0.3333333333333333
FAF1,0.3333333333333333
CLTC,0.14285714285714285
PAPOLA,0.2
EPOR,0.8928571428571429
KPNA2,0.2948717948717949
PIK3CD,0.5
PRKAR1A,0.0
STAT2,0.48717948717948717
DAXX,0.4
ZFHX1B,0.2857142857142857
CTBP2,0.0
SMURF2,0.6
DAP,0.0
PML,0.0
TNIP1,0.0
DVL1,0.03571428571428571
CTNND1,0.0
FZD4,1.0
FZD5,0.0
FZD6,0.0
WNT5A,1.0
EBP1,0.16666666666666666
KPNA3,0.0
RPL30,0.0
RPL4,0.2
RPL8,0.3333333333333333
EIF3S2,0.0
PSMD1,0.3333333333333333
SMARCA4,0.06666666666666667
ENG,1.0
ERK1,0.1975806451612903
MEF2A,0.3333333333333333
PLCG2,0.3333333333333333
SF1,0.0
TCF8,0.6666666666666666
VDR,0.4642857142857143
FBL,0.0
PSMD3,0.3
FKBP12,0.0
FKBP51,0.3333333333333333
JUND,0.5333333333333333
FRP2,0.0
GJA1,0.0
SOCS5,1.0
GAPDH,0.0
GAS1,0.6666666666666666
GLI2,0.3333333333333333
RAB23,0.3333333333333333
KPNB1,0.07142857142857142
SMARCE1,0.0
HERP1,0.0
SNRPD2,0.0
HSP90A,0.15555555555555556
STUB1,0.2
SUMO1,0.0
HSP90B,0.0
ID3,0.0
TCF4,0.0
IKBA,0.45454545454545453
IKKE,0.16666666666666666
WDR12,0.0
SMARCC2,0.3333333333333333
MAIL,0.0
MAML1,0.16666666666666666
MEK5,0.5
NIK,0.0
NKIRAS2,0.0
NR3C1,0.2222222222222222
CALR,0.0
PEN2,0.0
APH1B,0.0
PSMC1,0.8333333333333334
PSMC3,0.5
PSMD13,0.3333333333333333
PSMB5,0.0
EPS8,0.0
RACK1,0.2
RPS13,0.0
SDC2,0.0
RAI,0.0
RAP74,0.0
REPS1,1.0
REQ,0.0
RKIP,0.0
RSK1,0.0
SAM68,0.47619047619047616
SHOC2,0.0
SMOH,0.07142857142857142
SNX1,0.0
SNX6,0.0
VAV3,0.0
TIP1,0.0
TNFR1,0.0
TNFR2,0.0
TPL2,0.16666666666666666
TRUSS,0.0
RBX1,0.0
UBCH5C,0.0
USP9,0.0
ZIN,0.0
ZNF216,0.0
